Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
" nom sur le registre. 
– Non, ",1552,Madame,PER,PER,1558," ; je n'ai pas cet honneur. 
–"
"ins du monde. 
– J'espère que ",3837,Monsieur,PER,PER,3845," sera satisfait, dit l'hôtesse"
es messieurs ont dû le dire à ,3962,Monsieur,PER,PER,3970,". 
J'esquisse un sourire. 
J'a"
ce que contenait la valise de ,4263,M. Randal,PER,PER,4272,". Curiosité malsaine, je l'acc"
"us importuner plus longtemps, ",30260,M. Randal,PER,PER,30269, ; je vais vous quitter... Au 
"dans cette main-là. 
– Adieu, ",30437,Monsieur,PER,PER,30445,". 
Alors, M. Dubourg est parti"
n'est censé ignorer la loi. » ,41344,Est,LOC,LOC,41347,"-ce que c'est classique, ça, o"
"es du Vatican, que j'ignore ; ",46073,Michel-Ange,PER,PER,46084,", pour le Jugement Dernier, qu"
Boileau a mon admiration ; et ,46165,Malherbe,PER,PER,46173,", qui vint enfin. Je sais que "
"que le casque ? Et le pétase, ",48508,Messieurs,PER,PER,48517, ! Inutile d'aller plus loin..
"e et de grands yeux noirs... 
",65083,Est,LOC,LOC,65086,"-ce que je serais amoureux, pa"
 lui ; et lorsqu'il a dit à l',75931,abbé Lamargelle,PER,PER,75946," qui, depuis quelque temps déj"
", Mademoiselle ! 
– Oh ! oui, ",86540,Monsieur,PER,PER,86548,". 
– On se serait cru en plein"
"en plein mois d'août. 
– Oui, ",86600,Monsieur,PER,PER,86608,". 
– Vous ne craignez pas les "
"leurs, Mademoiselle ? 
– Non, ",86679,Monsieur,PER,PER,86687,". 
– Beaucoup de gens s'en tro"
" trouvent incommodés. 
– Oui, ",86743,Monsieur,PER,PER,86751,"... 
Mon oncle parle de l'inte"
"e chose incompréhensible, dit ",86914,Mme Montareuil,PER,PER,86928,", que ces perpétuels changemen"
"douard de nouvelles qualités, ",87474,Mme Montareuil,PER,PER,87488," rentre dans le salon. 
– J'ai"
"e, monsieur Georges ? 
– Non, ",88116,Madame,PER,PER,88122, ; je le regrette ; mais j'ai 
de votre oncle. Nous laissons ,88738,Marguerite,PER,PER,88748," pour garder la maison, et nou"
re du berger dans les yeux de ,89431,Margot,PER,PER,89437,". 
– Alors, Monsieur ne va pas"
"les yeux de Margot. 
– Alors, ",89449,Monsieur,PER,PER,89457, ne va pas à Maisons-Laffitte 
 oncle dans une colère bleue. ,90337,Mme Montareuil,PER,PER,90351,", que j'avais rencontrée au ba"
"personne, cette nuit-là, chez ",91627,Mme Montareuil,PER,PER,91641," ? 
– Si ; Marguerite, la femm"
"chez Mme Montareuil ? 
– Si ; ",91652,Marguerite,PER,PER,91662,", la femme de chambre. Mais el"
as agi aussi brusquement avec ,94159,Mme Montareuil,PER,PER,94173,. J'ai pris des renseignements
"l'amant de Mme Montareuil. 
– ",95074,Mme Montareuil,PER,PER,95088," ! Un amant ! 
– Pourquoi pas "
 ont révélé son intimité avec ,96369,Mme Montareuil,PER,PER,96383,". 
– Ce n'est donc pas elle qu"
Me prends-tu pour un enfant ? ,97272,Est,LOC,LOC,97275,-ce que j'ai l'habitude d'inve
" 
– Dis-moi ce que tu penses, ",118584,Georges !,PER,PER,118593," Je t'en prie, dis-le moi, si "
". Tu sais, le vol commis chez ",119511,Mme Montareuil,PER,PER,119525,", ces quatre cent mille francs"
"sses dirigées. De par la loi, ",134931,Monsieur,PER,PER,134939,", de par la loi ! Vous savez q"
"ndus hostiles. N'oubliez pas, ",156992,Monsieur,PER,PER,157000,", que je suis ingénieur ; rien"
"n soit, je puis vous assurer, ",157263,Monsieur,PER,PER,157271,", que vos paroles ont fait la "
la plus grande impression sur ,157328,M. Randal,PER,PER,157337,. Je connais M. Randal. Il est
ion sur M. Randal. Je connais ,157350,M. Randal,PER,PER,157359,". Il est peu expansif, comme t"
"e nous l'apprend. La science, ",159006,Monsieur,PER,PER,159014, ! La main-d'œuvre est pour ri
"nt à présent. Loi économique, ",159420,Monsieur,PER,PER,159428,", loi économique ! 
– La scien"
"able chose, dit Issacar. Mais ",159504,M. Randal,PER,PER,159513,", qui a pour elle tout le resp"
" avons la garde civique, ici, ",162366,Monsieur,PER,PER,162374,", pour une fois. Mais enfin, c"
"our vous demander à déjeuner, ",163666,M. Randal,PER,PER,163675," et moi. 
– Le plus tôt possib"
"
– Je suis vraiment enchanté, ",166447,Monsieur,PER,PER,166455,... Permettez-moi seulement un
"pluriel, et de nous donner du ",167321,Monsieur,PER,PER,167329," ? Donc, Roger-la-Honte me tut"
 s'apercevront de rien. C'est ,194541,Monsieur,PER,PER,194549," lui-même, lorsqu'il montera à"
i eu le plaisir de vous voir. ,201219,Monsieur,PER,PER,201227," est de vos amis, je présume ?"
" de belles espérances. Voyez, ",205127,Monsieur,PER,PER,205135,", comme le Progrès choisit, po"
réfléchi en parlant ? demande ,210193,Roger,PER,PER,210198,. Vous me semblez bien autorit
"es-vous timide à ce point-là, ",216729,Monsieur,PER,PER,216737," ? 
– Beaucoup plus encore, di"
" de main pour une affaire, en ",228533,Suisse,LOC,LOC,228539,", et ça va venir ces jours-ci."
"le-Lumière. Nous nous levons, ",228961,Roger,PER,PER,228966," et moi. 
– Comment ! s'écrie "
"us avions employé la matinée, ",229875,Roger,PER,PER,229880," et moi, à déposer la plus gra"
"jugements... 
– Certainement, ",237454,Madame,PER,PER,237460,", dis-je d'un ton péremptoire,"
"t, aujourd'hui... Vous savez, ",237813,Monsieur,PER,PER,237821,", pourquoi j'ai demandé à fair"
"e »... -- je m'appelle Renée, ",238504,Monsieur,PER,PER,238512, ; désignez-moi par ce nom qua
"ée, il faut me tirer de là. » ",238871,Monsieur,PER,PER,238879,", j'ai mes défauts, je ne le c"
ffée tout le milieu du dos... ,239585,Est,LOC,LOC,239588,-ce que vous aimez la peinture
"e. Je crois devoir vous dire, ",240330,Monsieur,PER,PER,240338,", quelles idées me vinrent suc"
"ragée comme un bijou. 
– Oui, ",241618,Monsieur,PER,PER,241626,", oui, j'ai pensé à cela ; à a"
"t à la mode. Vous auriez été, ",241792,Madame,PER,PER,241798,", en fort bonne compagnie à cô"
"e. 
– Je vous demande pardon, ",242342,Madame,PER,PER,242348,. J'admets très bien qu'une fe
"n'en a plus. Que voulez-vous, ",243426,Monsieur,PER,PER,243434, ? On ne peut pas. Une jeune f
Ida m'a mise en rapports avec ,244006,M. Canonnier,PER,PER,244018,. Elle a dû vous le dire ? Oui
"ier m'a convaincue ; écoutez, ",245049,Monsieur,PER,PER,245057, : on peut dire de lui ce qu'o
" progrès ! Je suis persuadée, ",245670,Monsieur,PER,PER,245678,", que vous avez reçu une excel"
"dore ça. 
– J'en suis désolé, ",246208,Madame,PER,PER,246214,", mais je ne saurais trouver d"
oleurs sont la modestie même. ,246680,M. Canonnier,PER,PER,246692, était comme vous ; il n'a jam
"à peine vêtue pour venir ici, ",248359,Monsieur,PER,PER,248367," ; un costume de trottin, qui "
" Lamargelle. 
– Hé ! bonjour, ",264845,cher Monsieur,PER,PER,264858,", me dit-il de sa voix profond"
" cette qualité que j'ai pris, ",266243,cher Monsieur,PER,PER,266256,", la liberté de m'intéresser à"
"prouvée ! Vous rappelez-vous, ",268164,cher Monsieur,PER,PER,268177,", l'importance du vol dont Mme"
" poussait jusqu'à Londres... 
",268415,– Monsieur,PER,PER,268425," l'abbé, dis-je, j'ai peine à "
"e. 
Le second voyageur est un ",292428,Monsieur,PER,PER,292436," d'aspect morose, au teint jau"
" pareil. Ne trouvez-vous pas, ",293824,Monsieur,PER,PER,293832," ? 
– Oui, beau temps... très "
t des nombreuses aventures du ,294264,Monsieur,PER,PER,294272, jovial avec les fils de la pe
" 
– Parfaitement, approuve le ",294786,Monsieur,PER,PER,294794, jovial qui voit qu'il n'y a d
"sort. 
– Ne trouvez-vous pas, ",294946,Monsieur,PER,PER,294954,", demande-t-il en se tournant "
"ne voix lugubre. 
– Le monde, ",295528,Monsieur,PER,PER,295536,", est émerveillé de la façon d"
"e vous. Je suis philanthrope, ",297037,Monsieur,PER,PER,297045,". Un philanthrope, n'est-ce pa"
"ment infirmes. 
– Croyez-moi, ",297874,Monsieur,PER,PER,297882,", la philanthropie doit deveni"
"manque au Parlement français, ",299435,Monsieur,PER,PER,299443,", ce n'est pas la bonne volont"
"qui fait défaut à la Chambre, ",299726,Monsieur,PER,PER,299734,", c'est un philanthrope qui in"
