Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"
(Ca se passe en Belrique.) |
",5419,© Case,PER,PER,5425, passe en Belgique. J'avais ét
"mais sorti de mon
trou. |

.— ",6186,Monsieur,PER,PER,6194, est sans doute un ami de M. R
ieur est sans doute un ami de ,6220,M. Randal,PER,PER,6229,",
me dit l'hôtelière comme je "
"ur le re-
gisire. | |

— Non, ",6304,Madaine,PER,PER,6311,"; je n'ai pas cet honneur.

— "
"s el que vous ne fouvez pas

",8104,"Pa

LUS",LOC,LOC,8111,"

.

AVANT-PROPOS IT

toujours"
" coin, là,
c’est la valise de ",8386,M. Randal,PER,PER,8395," ; 1l n'a pas voulu l’empor-
l"
"ins du monde.

— J'eshère que ",8646,Monsieur,PER,PER,8654," sera satisfait, dit l'hôlesse"
es messieurs ont dû le dire à ,8771,Monsieur,PER,PER,8779,".

J'esquisse un sourire. |

J"
"a bouclaient. Je n'aurai pas,
",9471,Dieu,MISC,MISC,9475," merci, une effraction sur la "
"e. À quoi ça peut-il
servir ? ",9699,Mystère,PER,PER,9706,. Une petite bouteille éfiquet
"né la
lecture des mémoires de ",10932,M. Randal,PER,PER,10941," — l'appellerai-7e
Monsieur ? "
"e M. Randal — l'appellerai-7e
",10960,Monsieur,PER,PER,10968, ? — maintenant que j'ai en in
"ne à mm

£
Az
Ë

F
is

1:
4°
",12408,M.,PER,PER,12410,"""
ss
&
;

RS

5 Six
hs
pes

 
"
"ait écrit,
d'avance, le sieur ",12548,Randal,PER,PER,12554,". — Tant pis por lui; tant
pis"
"spect de la pro-

priété, que ",12764,Messieurs,PER,PER,12773, les voleurs commencent — pour
"eut-être. |

GEORGES DARIEN.

",14950,Londres,LOC,LOC,14957,", 1806.

 

»
‘ L
.'s
. Ÿ
ru
"
tait grand temps; et ma tante ,17146,Augustine,PER,PER,17155,", en
termes voilés, a mis mon "
"|

Candeur !... Mon enfance ? ",20933,Jene,PER,PER,20937," me rappelle déjà

plus. Mes s"
"ment
ému, en pénétrant dans l’",24923,auguste,PER,PER,24930," enceinte, dans le
sanctuaire "
" été très désillu-
sionné. Le ",26972,Gambetta,PER,PER,26980, que j'ai vu n’est point celui
"ends ?

Je n'ai pas rencontré ",36293,Albert,PER,PER,36299,". Mais le surlendemain
matin, "
"us importuner plus longtemps, ",37984,M. Randal,PER,PER,37993," ; je vais
vous quitter... Âu "
"dans
cette main-là.

— Adieu, ",38163,Monsieur,PER,PER,38171,".

Alors, M. Dubourg est parti"
"robes de sa fille, ma
cousine ",43310,Charlotte,PER,PER,43319,", qui commence à porter des ju"
ina ; et aussi au triomphe de ,53990,César,PER,PER,53995,".
L'empire Romain s'établit, à"
ime à lire dans un boïs »; et ,54779,Homère,PER,PER,54785,",

«jeune encor de gloire. » J"
"ges du Vatican, que j'ignore; ",54877,Michel-Ange,PER,PER,54888,",
pour le Jugemént Dernier, qu"
Boileau a mon admiration ; et ,54969,Malherbe,PER,PER,54977,", qui vint
enfin. Je sais que "
", qui vint
enfin. Je sais que ",55007,Molière,PER,PER,55014," est supérieur à Shakespeare
e"
"et Fénelon, qui fut
un cygne. ",55212,Plumages !,MISC,MISC,55222,"... J’honore Franklin.
Je vis "
"ement sur sesinstincts,
a dit ",55864,Emerson,PER,PER,55871,", et le monde entier viendra à"
"que le casque ? Et le pétase,
",57335,Messieurs,PER,PER,57344, ! Inutile d’aller plus loin. 
"nieur.
Où, comment j'ai connu ",61325,M. Issacar,PER,PER,61335,", c'est assez diffi-
cile à di"
"le hasard des promis-
cuités. ",61761,M. Issacar,PER,PER,61771, est un homme habile ; il a de
"éprise pas ton corps »,
a dit ",68876,Isaïe,PER,PER,68881,". Monsieur, je ne connais poin"
"rd
Montareuil, que ma cousine ",74336,Charlotte,PER,PER,74345," va se marier.
Pas un mauvais "
"l à définir. Une jolie brune, ",74635,Charlotte,PER,PER,74644,", avec la
peau mate et de gran"
"lorsqu'il est seul
en face de ",96580,Charlotte,PER,PER,96589,". | |

Ca, je men moque absolu"
"; mais pas avant dix heures.

",96828,Mr Montareuil,PER,PER,96841," est une personne grave, avec "
"s-
crire sa conversation avec ",97115,Charlotte,PER,PER,97124," ne me serait pas
difficile. |"
"i,
Mademoiselle !

— Oh! oui, ",97228,Monsieur,PER,PER,97236,".

 

most

A TE
ris""

\

LE "
" en plein mois d'août.
— Oui, ",97330,Monsieur,PER,PER,97338,". oo |
— Vous ne craignez pas "
"eurs, Ma-
demoiselle ?
— Non, ",97414,Monsieur,PER,PER,97422,". | |
— Beaucoup de gens s’en "
