Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
sser ainsi la frontière ? Mon ,907,Dieu,MISC,,911, ! j'avais voulu voir le roi L
jamais vu de roi. Quel est le ,1016,Républicain,PER,ORG,1027," qui ne me comprendra pas ? 
J"
ieur est sans doute un ami de ,1474,M.,PER,,1476," Randal, me dit l'hôtelière co"
r est sans doute un ami de M. ,1477,Randal,MISC,PER,1483,", me dit l'hôtelière comme je "
e Georges comme vous savez -- ,1965,Georges,PER,,1972," Randal -- Eh bien, puisque vo"
s comme vous savez -- Georges ,1973,Randal,PER,,1979," -- Eh bien, puisque vous le c"
hier et je ne pense pas qu'il ,2096,revienne,PER,,2104, avant plusieurs jours. C'est 
ce pas ? J'ai vu des dames me ,2272,la,PER,,2274, retenir quelquefois deux mois
"i est dans le coin, là, c'est ",3566,la,PER,,3568, valise de M. Randal ; il n'a 
" coin, là, c'est la valise de ",3579,M.,PER,,3581, Randal ; il n'a pas voulu l'e
"in, là, c'est la valise de M. ",3582,Randal,MISC,PER,3588, ; il n'a pas voulu l'emporter
" 
– Pas le moins du monde. 
– ",3824,J',PER,,3826,espère que Monsieur sera satis
ce que contenait la valise de ,4263,M.,PER,,4265," Randal. Curiosité malsaine, j"
que contenait la valise de M. ,4266,Randal,MISC,PER,4272,". Curiosité malsaine, je l'acc"
"a bouclaient. Je n'aurai pas, ",4656,Dieu,MISC,,4660," merci, une effraction sur la "
e. À quoi ça peut-il servir ? ,4884,Mystère,PER,,4891,. Une petite bouteille étiquet
rouleau de papiers. Je dénoue ,5107,la,PER,,5109, ficelle qui l'attache. Qu'est
né la lecture des mémoires de ,6086,M.,PER,,6088, Randal -- l'appellerai-je Mon
la lecture des mémoires de M. ,6089,Randal,MISC,PER,6095, -- l'appellerai-je Monsieur ?
 M. Randal -- l'appellerai-je ,6115,Monsieur,PER,,6123, ? -- maintenant que j'ai en m
"intérieure, mais impérieuse. 
",6334,Naturellement,MISC,,6347,. Mais comment faire ? Le renv
es soirs « ces messieurs » me ,6647,casseront,PER,,6656, le nez dans un coin. Bien gra
is si j'y retourne et qu'on m',6985,observe,PER,,6992,", si l'on vient à remarquer ma"
"is point comment il écrit, ce ",8731,Voleur,PER,MISC,8737,-là ; mes phrases n'entrent pa
" rancune. 
Une chose qu'on me ",8982,reprochera,PER,,8992,", pourtant -- et avec raison, "
"olume, aurait dit son fait au ",9192,Voleur,PER,MISC,9198,. Il aurait suffi de le faire 
