Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"nt jamais sorti de mon trou. 
",1438,– Monsieur,PER,PER,1448, est sans doute un ami de M. R
ieur est sans doute un ami de ,1474,M. Randal,PER,PER,1483,", me dit l'hôtelière comme je "
"; je n'ai pas cet honneur. 
– ",1589,Tiens,MISC,MISC,1594,", c'est drôle. Je vous aurais "
" coin, là, c'est la valise de ",3579,M. Randal,PER,PER,3588, ; il n'a pas voulu l'emporter
"ins du monde. 
– J'espère que ",3837,Monsieur,PER,PER,3845," sera satisfait, dit l'hôtesse"
es messieurs ont dû le dire à ,3962,Monsieur,PER,PER,3970,". 
J'esquisse un sourire. 
J'a"
ce que contenait la valise de ,4263,M. Randal,PER,PER,4272,". Curiosité malsaine, je l'acc"
né la lecture des mémoires de ,6086,M. Randal,PER,PER,6095, -- l'appellerai-je Monsieur ?
"ait écrit, d'avance, le sieur ",7599,Randal,PER,PER,7605,. -- Tant pis pour lui ; tant 
" respect de la propriété, que ",7813,Messieurs,PER,PER,7822, les voleurs commencent -- pou
s y pousse de tous les côtés. ,10050,Mme Dubourg,PER,PER,10061, a laissé entendre à ma mère q
ait grand temps ; et ma tante ,10128,Augustine,PER,PER,10137,", en termes voilés, a mis mon "
"ères ont la larme à l'œil. 
– ",12315,Cher,LOC,LOC,12319, petit ! Comme il a dû travail
"te. 
– C'est bien dommage que ",18637,Gambetta,PER,PER,18645," n'ait pas parlé, dis-je à mon"
"es, me représenter un homme d'",20197,État,LOC,LOC,20201,", c'est son visage que j'évoqu"
en convient sans difficulté : ,26641,Dubourg,PER,PER,26648,", c'est l'honnêteté en personn"
"us importuner plus longtemps, ",30260,M. Randal,PER,PER,30269, ; je vais vous quitter... Au 
"dans cette main-là. 
– Adieu, ",30437,Monsieur,PER,PER,30445,". 
Alors, M. Dubourg est parti"
". 
– Adieu, Monsieur. 
Alors, ",30455,M. Dubourg,PER,PER,30465, est parti. Il s'en est allé à
"robes de sa fille, ma cousine ",35454,Charlotte,PER,PER,35463,", qui commence à porter des ju"
n'est censé ignorer la loi. » ,41344,Est,LOC,LOC,41347,"-ce que c'est classique, ça, o"
ina ; et aussi au triomphe de ,45187,César,PER,PER,45192,". L'empire Romain s'établit, à"
or de gloire. » J'estime fort ,46023,Raphaël,PER,PER,46030," pour les Loges du Vatican, qu"
"es du Vatican, que j'ignore ; ",46073,Michel-Ange,PER,PER,46084,", pour le Jugement Dernier, qu"
Boileau a mon admiration ; et ,46165,Malherbe,PER,PER,46173,", qui vint enfin. Je sais que "
distingue soigneusement entre ,46349,Bossuet,PER,PER,46356,", qui était un aigle, et Fénel"
