Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
" Gallica

Le voleur : roman / ",35,"Georges
Darien

Source gallica.bnf.fr /",,PER,74, Bibliothèque nationale de Fra
"rien

Source gallica.bnf.fr / ",75,Bibliothèque nationale de France,,LOC,107,"

11 Gallica

 

Darien, Geor"
"ance

11 Gallica

 

Darien, ",133,Georges,,MISC,140, (1862-1921). Auteur du texte.
"du texte. Le voleur : roman
| ",191,Georges Darien,,PER,205,". 1898.

1/ Les contenus acces"
tenus accessibles sur le site ,254,Gallica,,MISC,261," sont pour la plupart
des repr"
s : « Source gallica.bnf.fr / ,772,"Bibliothèque nationale
de France",,ORG,804, » ou « Source gallica.bnf.fr 
"ue nationale
de France » ou « ",812,Source gallica.bnf.fr / BnF,,MISC,839," ».

- La réutilisation commer"
"vocation promotionnelle etc.

",1337,CLIQUER ICI,,MISC,1348, POUR ACCÉDER AUX TARIFS ET À 
"nnelle etc.

CLIQUER ICI POUR ",1354,ACCÉDER,,ORG,1361," AUX TARIFS ET À LA LICENCE

2"
"
CLIQUER ICI POUR ACCÉDER AUX ",1366,TARIFS ET,,MISC,1375," À LA LICENCE

2] Les contenus"
 POUR ACCÉDER AUX TARIFS ET À ,1378,"LA LICENCE

2",,MISC,1391,] Les contenus de Gallica sont
"A LICENCE

2] Les contenus de ",1409,Gallica,,MISC,1416, sont la propriété de la BnF a
llica sont la propriété de la ,1441,BnF,,ORG,1444," au sens de
l'article L.2112-1"
"e la BnF au sens de
l'article ",1466,L.2112-1,,MISC,1474, du code général de la proprié
" sont
signalés par la mention ",1985,"Source gallica.BnF.fr / Bibliothèque
municipale de …",,MISC,2037, (ou autre partenaire). L'util
"ditions de
réutilisation.

4] ",2169,Gallica,,MISC,2176, constitue une base de données
" une base de données, dont la ",2216,BnF,,ORG,2219," est le
producteur, protégée a"
protégée au sens des articles ,2269,L341-1,,MISC,2275," et suivants du
code de la pro"
d'utilisation des contenus de ,2387,Gallica,,MISC,2394,"
sont régies par la loi frança"
] Pour obtenir un document de ,2898,Gallica,,MISC,2905," en haute définition,
contacte"
"erciale@ bnf.fr.

j-

us

 

",2983,Sovts,,MISC,2988,"

Se

 

TS œ mme mms © ©

"
"

j-

us

 

Sovts

Se

 

",2999,TS,,MISC,3001," œ mme mms © ©

TT bi LUS

 
"
"D:

CHEPT F LÉGA di:

GEORGES ",3064,DARIEN LL,,PER,3073,"
| AR 2H. LE

 

 

LE

 

; -"
"LÉGA di:

GEORGES DARIEN LL
| ",3076,AR 2H.,,MISC,3082," LE

 

 

LE

 

; -- o _ \
\"
":

GEORGES DARIEN LL
| AR 2H. ",3083,"LE

 

 

LE",,MISC,3095,"

 

; -- o _ \
\ SF À
\, f LT"
"ens honteux ni fort délicats.
",3195,La FONTAINE,,PER,3206,",

 

PARIS oo do LS
P.-V. STO"
"rt délicats.
La FONTAINE,

 

",3212,PARIS,,LOC,3217," oo do LS
P.-V. STOCK, ÉDITEUR"
"INE,

 

PARIS oo do LS
P.-V. ",3233,STOCK,,ORG,3238,", ÉDITEUR 8
{Ancienne Librairi"
"

PARIS oo do LS
P.-V. STOCK, ",3240,ÉDITEUR,,MISC,3247," 8
{Ancienne Librairie TRESSE "
"ne Librairie TRESSE & STOCK)

",3287,Oy Q,,ORG,3291,"» 10, 11, GALERIE Di} THÉATRE-"
"réservés. pour tous les pays, ",3424,y.,,LOC,3426," compris
la Suède et la. Noïvè"
" tous les pays, y. compris
la ",3438,Suède,,LOC,3443," et la. Noïvège.

1
3

 

tr"
"s, y. compris
la Suède et la. ",3451,Noïvège,,LOC,3458,".

1
3

 

tr:

 

Dane pe e"
". Noïvège.

1
3

 

tr:

 

",3479,Dane pe ele,,PER,3490, ai me a PE LE RSI 2 EN Rs 1 a
"
tr:

 

Dane pe ele ai me a ",3499,PE LE RSI 2 EN Rs,,MISC,3516," 1 an np,

 

> . un
2 d Er ma"
"EN Rs 1 an np,

 

> . un
2 d ",3541,Er mapaeas th dé nt,,LOC,3560," ré va tte rt

NE

L'auteur e"
2 d Er mapaeas th dé nt ré va ,3567,"tte rt

NE

L'auteur",,MISC,3588, et l'éditeur déclarent réserv
" jour lous pays, y compris la ",3696,Suèle,,LOC,3701," et ia Norvège.

Ce volume-a é"
"ays, y compris la Suèle et ia ",3708,Norvège,,LOC,3715,".

Ce volume-a élè déposé au M"
"e.

Ce volume-a élè déposé au ",3744,Ministère de l'Intérieur,,ORG,3768," (seelion de Îa librairie)
en "
re de l'Intérieur (seelion de ,3781,Îa librairie,,MISC,3793,")
en novembre 1897. :

oh

A L"
"

A LA MÊME LIBRATRIE

fa

DU ",3848,MÈME,,LOC,3852," AUTEUR

Bas les Cœurs, 1870-1"
"IBRATRIE

fa

DU MÈME AUTEUR

",3861,Bas,,LOC,3864," les Cœurs, 1870-1871. roman, "
", 1870-1871. roman, 1 volume.
",3904,Biribi,,LOC,3910,", armée d'Afrique, roman, 1 vo"
"an, 1 volume.
Biribi, armée d'",3920,Afrique,,LOC,3927,", roman, 1 volume.

Les Chapon"
"ce en un acte, représentée au ",3993,Théätre-Libre,,LOC,4006,"
(en collaboration avec M. Luc"
"-Libre
(en collaboration avec ",4030,M. Lucien Descaves,,PER,4048,"), r brochure,

 

Pour paraît"
" paraître prochainement :

La ",4101,Malhonnête,,LOC,4111," Femme, roman.

 

Ua clé tiré"
"n.

 

Ua clé tiré à part, de ",4153,cel ouvrage,,MISC,4164,", sur papier de
Hollande, dix "
"de cel ouvrage, sur papier de
",4180,Hollande,,LOC,4188,", dix exemplaires numérotés à "
"es numérotés à la presse.

 

",4233,SAINT-AMAND,,LOC,4244,", CHER, — IMPRIMÉRIL BUSSIÈRE "
"à la presse.

 

SAINT-AMAND, ",4246,CHER,,MISC,4250,", — IMPRIMÉRIL BUSSIÈRE FRÈRES"
"sse.

 

SAINT-AMAND, CHER, — ",4254,IMPRIMÉRIL,,MISC,4264," BUSSIÈRE FRÈRES.

LP A HEURE "
" IMPRIMÉRIL BUSSIÈRE FRÈRES.

",4283,LP A HEURE 7e TL ER PE,,MISC,4305," En à ere ere

CRETE

 

ROMA"
" à ere ere

CRETE

 

ROMAN

",4338,Les Voleurs,,MISC,4349," ne sont pas ,
Gens honteux ni"
"AN

Les Voleurs ne sont pas ,
",4364,Gens honteux ni fort délicats,,MISC,4393,".

 

F1 LA FoxTAINE. %

  
 
"
"honteux ni fort délicats.

 

",4399,F1 LA FoxTAINE,,MISC,4413,". %

  
 
  

AE Sc en
SRSNUT."
"oxTAINE. %

  
 
  

AE Sc en
",4436,SRSNUT,,ORG,4442,".

ETC
37, W
En

| PARIS
: P.-"
"  

AE Sc en
SRSNUT.

ETC
37, ",4453,W,,PER,4454,"
En

| PARIS
: P.-V, STOCK, ÉD"
"c en
SRSNUT.

ETC
37, W
En

| ",4461,PARIS,,LOC,4466,"
: P.-V, STOCK, ÉDITEUR

(Anci"
