Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"A8IS
083
a11
180
Vrau
Darien, ",77,Georges,PER,MISC,84, (18621922). Auteur dutente. l
"eur dutente. le voleur. roman
",130,ICeorges,MISC,,138," Darien. 1898.
I les contenus "
"te. le voleur. roman
ICeorges ",139,Darien,PER,,145,". 1898.
I les contenus accessi"
"t fait
l'obiet d'une licence. ",866,Est,LOC,,869, entendue par reutilisation co
"Callicd en haute détinition,
",2846,Contacter,PER,LOC,2855,"
utilisation Commnercialelabnt"
"déticals.
4.
D
t
 er
.. L.C. ",3215,Voleurs,PER,,3222," ne Sout pas
R
N
 l.sts.
I
IE
"
"RIS
LA FONTAIRE.
T F l F7
P.. ",3284,V.,PER,,3286," STOCK, EDITEUR
Aancionne Uibr"
"
LA FONTAIRE.
T F l F7
P.. V. ",3287,STOCK,PER,MISC,3292,", EDITEUR
Aancionne Uibrairie "
" F l F7
P.. V. STOCK, EDITEUR
",3302,Aancionne,PER,LOC,3311," Uibrairie Turssr S FroCK)
1, "
" DII TIÉATRE FNAWCAIS
PAlaIS ",3389,Roral,PER,,3394,"
""

2.898.
L 13. s de reproduc"
"ous les pays, y compris .
 la ",3493,Suede,PER,,3498," at la. Hoivige.
-

Mai d 
 du"
" y compris .
 la Suede at la. ",3506,Hoivige,PER,ORG,3513,".
-

Mai d 
 du te

83
A 
245 "
"e

83
A 
245 mêr --
 
2e

(e ",3560,Voleur,PER,,3566,"
50811
080

lauteur et l'edite"
"e, y compris la Suéile cl in ",3710,Norrege,LOC,,3717,".
Ce volnmeia ele déposé au "
", 1970.1871. roudn, I Yolume.
",3907,Birihi,PER,LOC,3913,", armée d'Afrique, roinan, I "
"ibre i
len collaboratioi avec ",4042,M.,PER,,4044," Lucien Descaves), I brochure,"
"e i
len collaboratioi avec M. ",4045,Lucien,PER,,4051," Descaves), I brochure,
Pour p"
" paraitre prochainement :
J.d ",4109,Malhonnete,PER,,4119," Homino, romdn.
⁋l aété tire"
".....les voleurs ne sont pas,
",4386,Gens,MISC,,4390," honteux ni fort délicats.

I"
"

I
I
PARIS
LA FoyralnE. A
D. ",4447,V.,PER,,4449," SrOCH, EDITEUE
(Ancienne Libr"
"
I
PARIS
LA FoyralnE. A
D. V. ",4450,SrOCH,PER,,4455,", EDITEUE
(Ancienne Librairie "
"alnE. A
D. V. SrOCH, EDITEUE
(",4466,Ancienne,PER,,4474," Librairie Piesse et Stoch)
8,"
". V. SrOCH, EDITEUE
(Ancienne ",4475,Librairie,MISC,,4484," Piesse et Stoch)
8,9, 10, II,"
(Ancienne Librairie Piesse et ,4495,Stoch,PER,MISC,4500,")
8,9, 10, II, CALERIE DU TIIE"
"E DU TIIEATRE FRANCAIS
PALAIS ",4551,ROTAL,PER,,4556,"
 1898
.
.
d

 
 d
N


 1
1
4
"
"r. à pré-
iière vue, à 1a ",4753,Lecture,PER,MISC,4760," du titre, que le manuserit m "
" légue par un
Caisfier.
I
 e ",5148,Vaivole,PER,,5155,".
l'avoue mon crime. Je ne che"
" faut, devant le Procureur du ",5318,Roi,PER,,5321,".
a se passe en Delgique.)
 Ca"
"ocureur du Roi.
a se passe en ",5337,Delgique,PER,LOC,5345,".)
 Ca se passe en Belsique. L"
"en Delgique.)
 Ca se passe en ",5364,Belsique,PER,MISC,5372,. L'avais été faire un petit
"passer.
ainsi la frontière ? ",5539,Mon,MISC,,5542," Dieu ! r'avais voulu voir le
"
"mier
hôtel venu, l'hôtel du ",5777,Roi,PER,,5780," Salomon. Je ne me fie puere
A"
