Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
r passer ainsi la frontière ? ,903,Mon,MISC,,906, Dieu ! j'avais voulu voir le 
sser ainsi la frontière ? Mon ,907,Dieu,MISC,,911, ! j'avais voulu voir le roi L
jamais vu de roi. Quel est le ,1016,Républicain,PER,ORG,1027," qui ne me comprendra pas ? 
J"
"remier hôtel venu, l'hôtel du ",1135,Roi,PER,,1138, Salomon. Je ne me fie guère a
ieur est sans doute un ami de ,1474,M.,PER,,1476," Randal, me dit l'hôtelière co"
e Georges comme vous savez -- ,1965,Georges,PER,,1972," Randal -- Eh bien, puisque vo"
s comme vous savez -- Georges ,1973,Randal,PER,,1979," -- Eh bien, puisque vous le c"
us savez -- Georges Randal -- ,1983,Eh,MISC,,1985," bien, puisque vous le connais"
savez -- Georges Randal -- Eh ,1986,bien,MISC,,1990,", puisque vous le connaissez, "
". Ces messieurs sont à Spa, à ",2404,Dinan,PER,LOC,2409,", à Ostende, ou bien dans les "
" coin, là, c'est la valise de ",3579,M.,PER,,3581, Randal ; il n'a pas voulu l'e
" 
– Pas le moins du monde. 
– ",3824,J',PER,,3826,espère que Monsieur sera satis
ce que contenait la valise de ,4263,M.,PER,,4265," Randal. Curiosité malsaine, j"
"de me juger trop sévèrement. 
",4543,Bref,LOC,,4547,", j'ouvris la valise ; elle n'"
"a bouclaient. Je n'aurai pas, ",4656,Dieu,MISC,,4660," merci, une effraction sur la "
e. À quoi ça peut-il servir ? ,4884,Mystère,PER,,4891,. Une petite bouteille étiquet
 petite bouteille étiquetée : ,4926,Chloroforme,PER,LOC,4937,. Ne l'ouvrons pas ! Une boîte
né la lecture des mémoires de ,6086,M.,PER,,6088, Randal -- l'appellerai-je Mon
 M. Randal -- l'appellerai-je ,6115,Monsieur,PER,,6123, ? -- maintenant que j'ai en m
 ? Le renvoyer par la poste ? ,6397,Impossible,PER,MISC,6407,", mon départ précipité a dû dé"
"is point comment il écrit, ce ",8731,Voleur,PER,MISC,8737,-là ; mes phrases n'entrent pa
"olume, aurait dit son fait au ",9192,Voleur,PER,MISC,9198,. Il aurait suffi de le faire 
"nscience. 
Moi qui ai volé le ",9677,Voleur,PER,,9683,", je ne puis guère le flétrir."
"le droit. Peut-être. 
Georges ",9904,Darien,PER,,9910,". 
Londres, 1896. 
I -- AURORE"
"e. 
Georges Darien. 
Londres, ",9922,1896,PER,,9926,". 
I -- AURORE 
Mes parents ne"
s y pousse de tous les côtés. ,10050,Mme,PER,,10053, Dubourg a laissé entendre à m
 un enfant -- au moins un. -- ,10634,Réfléchissez,PER,,10646,"-y. 
Le médecin s'en mêle : 
–"
"ent d'attendre davantage. 
Le ",10786,curé,LOC,,10790," aussi : 
– Un des premiers pr"
nvoqués pour la circonstance. ,11990,Solennité,PER,,11999, majestueuse ! Cérémonie impos
s couronnes qui me déchire le ,12771,front,PER,,12776," et m'égratigne les oreilles, "
"anche, à faire hurler un Peau-",12925,Rouge,PER,,12930, et à me donner des excitation
"ute la candeur de l'enfance. 
",13661,Candeur,PER,MISC,13668, !... Mon enfance ? Je ne me r
urniquets chargés de pavés de ,15150,Reims,PER,LOC,15155,", de porcelaines utiles et de "
ambetta. C'était au Palais de ,16241,Versailles,PER,,16251,", où se tenait alors l'Assembl"
ù se tenait alors l'Assemblée ,16284,Nationale,PER,,16293,. La séance était ouverte quan
 quand nous sommes entrés. Un ,16348,monsieur,PER,,16356," chauve, fortifié d'un gilet b"
as le retirer d'un collège de ,16751,Jésuites,LOC,ORG,16759," ? 
Si, on me l'a dit mille fo"
"is, il se tourne vers moi. 
– ",18073,Le,LOC,,18075," voilà, Gambetta ! Tiens, là, "
" moi. 
– Le voilà, Gambetta ! ",18094,Tiens,MISC,,18099,", là, là ! 
Oui, c'est lui, c'"
ain comment il a le nez fait. ,19821,Est,LOC,,19824,-ce que je ne suis pas physion
; au moins quelquefois. Et le ,19934,monsieur,PER,,19942," chauve, en gilet blanc, qui p"
" libre, mais policé. C'est ce ",20508,monsieur,PER,,20516,", dont j'ignore le nom, dont l"
té la France dans le fiacre à ,20599,Louis-Philippe,LOC,PER,20613,", dont la blanchisseuse avait "
"ds à m'enorgueillir. Non, Ali-",24320,Baba,LOC,,24324," n'a point éprouvé, en pénétra"
"le fruit défendu, au jardin d'",24535,Eden,LOC,,24539,", avec une émotion plus grande"
" lis le Contrat de louage, le ",24824,Régime,LOC,,24830," dotal, beaucoup d'autres chos"
"-ce que tu lis ? 
– Je lis le ",25420,Code,LOC,MISC,25424," ! 
À quoi bon nier ? Le livre"
"and-père sourit. 
– Tu lis le ",25583,Code,LOC,MISC,25587," ! Ça t'amuse, de lire le Code"
"mmédiatement. 
– Pour lire le ",25885,Code,LOC,MISC,25889,", mon ami, il ne suffit pas de"
lire ; il faut savoir lire le ,25957,Code,LOC,MISC,25961,". Ce qu'il faut lire, dans ce "
est tout ce qui restera de la ,26300,Société,PER,ORG,26307,". 
Bon, bon. Nous verrons ça. "
es domestiques. Il parait que ,27051,M.,PER,,27053, Dubourg s'est mal conduit... 
"te, échapper au châtiment. 
– ",27583,Jamais,PER,,27589,", dit ma mère. Mais on aura eu"
"n aura eu égard à son âge. 
– ",27640,Belle,PER,,27645, excuse ! Raison de plus pour 
" à son âge. 
– Belle excuse ! ",27655,Raison,PER,,27661, de plus pour n'avoir pas de p
" ordres, ici. Et quant à toi, ",28483,Georges,PER,MISC,28490,", si par hasard tu rencontres "
" son journal, je vois arriver ",28746,M.,PER,,28748," Dubourg. La domestique, par b"
"n journal, je vois arriver M. ",28749,Dubourg,LOC,PER,28756,". La domestique, par bêtise ou"
lle aura ses huit jours avant ,28889,midi,LOC,,28893,". 
Mais M. Dubourg est à dix p"
" huit jours avant midi. 
Mais ",28901,M.,PER,,28903, Dubourg est à dix pas. Je sen
"re me retient par le bras. 
– ",29103,Reste,PER,MISC,29108," là ! 
M. Dubourg parle depuis"
"us importuner plus longtemps, ",30260,M.,PER,,30262, Randal ; je vais vous quitter
". 
– Adieu, Monsieur. 
Alors, ",30455,M.,PER,,30457, Dubourg est parti. Il s'en es
"... Les robes de sa fille, ma ",35446,cousine,PER,,35453," Charlotte, qui commence à por"
"ère, et cette hache, c'est la ",40570,Nécessité,PER,,40579, qui la tient. C'est elle qui 
ui s'acharnera contre moi. Je ,42438,tiens,MISC,,42443, à n'avoir point de haine pour
rends donc cette Histoire des ,43046,Morts,PER,,43051," -- tout ça, c'est les procès "
s procès verbaux des vieilles ,43102,Morgues,PER,LOC,43109, -- cette Histoire des Morts q
Morgues -- cette Histoire des ,43132,Morts,PER,,43137, qu'on nous enseigne en dédain
eigne en dédain des Actes des ,43182,Vivants,PER,,43189, -- comme on nous condamne à l
