Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"ur le re-
gisire. | |

— Non, ",6304,Madaine,PER,PER,6311,"; je n'ai pas cet honneur.

— "
"; je n'ai pas cet honneur.

— ",6341,Tiens,MISC,MISC,6346,", c'est drôle. Je vous aurais "
"ins du monde.

— J'eshère que ",8646,Monsieur,PER,PER,8654," sera satisfait, dit l'hôlesse"
es messieurs ont dû le dire à ,8771,Monsieur,PER,PER,8779,".

J'esquisse un sourire. |

J"
"e. À quoi ça peut-il
servir ? ",9699,Mystère,PER,PER,9706,. Une petite bouteille éfiquet
"né la
lecture des mémoires de ",10932,M. Randal,PER,PER,10941," — l'appellerai-7e
Monsieur ? "
"e M. Randal — l'appellerai-7e
",10960,Monsieur,PER,PER,10968, ? — maintenant que j'ai en in
"ait écrit,
d'avance, le sieur ",12548,Randal,PER,PER,12554,". — Tant pis por lui; tant
pis"
"us importuner plus longtemps, ",37984,M. Randal,PER,PER,37993," ; je vais
vous quitter... Âu "
"dans
cette main-là.

— Adieu, ",38163,Monsieur,PER,PER,38171,".

Alors, M. Dubourg est parti"
n’est censé ignorer la loi. » ,49481,Est,LOC,LOC,49484,"-ce que c’est
classique, ça, o"
"ges du Vatican, que j'ignore; ",54877,Michel-Ange,PER,PER,54888,",
pour le Jugemént Dernier, qu"
Boileau a mon admiration ; et ,54969,Malherbe,PER,PER,54977,", qui vint
enfin. Je sais que "
"te et de grands yeux noirs...
",74691,Est,LOC,LOC,74694,"-ce que je serais amoureux, pa"
"ui; et lorsqu'il a dit

_ à l'",86163,abbé Lamargelle,PER,PER,86178," qui, depuis quelque temps déj"
"uil est charmante
pour toi et ",96471,Edouard,PER,PER,96478, est enchanté de te voir ; il 
"i,
Mademoiselle !

— Oh! oui, ",97228,Monsieur,PER,PER,97236,".

 

most

A TE
ris""

\

LE "
" en plein mois d'août.
— Oui, ",97330,Monsieur,PER,PER,97338,". oo |
— Vous ne craignez pas "
"eurs, Ma-
demoiselle ?
— Non, ",97414,Monsieur,PER,PER,97422,". | |
— Beaucoup de gens s’en "
"n trouvent incommodés.
— Oui, ",97480,Monsieur,PER,PER,97488,". |
Mon oncle parle de l'inten"
"re du berger
dans les yeux de ",100206,Margot,PER,PER,100212,".

— Alors, Monsieur ne va pas"
"les yeux de Margot.

— Alors, ",100224,Monsieur,PER,PER,100232, ne va pas à Maisons-Lafitte d
"x portes, petitesoubrette?

— ",100357,Commeauthéâtre,PER,PER,100371,",répond-elleen baissant les ye"
" son mouchoir sur ses yeux et
",101383,Edouard,PER,PER,101390,", d’une voix lugubre, m'avait "
"ntre la fortune que possédait
",104125,Edouard,PER,PER,104132, il y a huit jours et celle qu
"Me
prends-tu pour un enfant ? ",108471,Est,LOC,LOC,108474,"-ce que j'ai l'habitude
d'inve"
"res opèrent
eux-mêmes... |

— ",110463,Est,LOC,LOC,110466,"-ce que M""° Montareuil est au "
"e regarde avec étonnement.

— ",111435,Est,LOC,LOC,111438,-ce que je_ sais ? Elle n’a ri
"age ma main et je me lève.

— ",130875,Est,LOC,LOC,130878,-ce que je sais ce que tu pens
". Tu sais, le
vol commis chez ",131695,Me Montareuil,PER,PER,131708,", ces quatre cent mille
francs"
"sses dirigées. De par la loi,
",148190,Monsieur,PER,PER,148198,", de par la loi! Vous savez qu"
"ise libre perd sa liberté.

— ",169065,Monsieur,PER,PER,169073,", me dit l’honnête industriel,"
"ndus hostiles. N’oubliez pas, ",170980,Monsieur,PER,PER,170988,", que je suis
ingénieur ; rien"
"n soit, je puis vous assurer, ",171251,Monsieur,PER,PER,171259,", que vos
paroles ont fait la "
"n sur M. Ran-
dal. Je connais ",171340,M. Randal,PER,PER,171349,". Il est peu expansif, comme
t"
" à présent. Loi économi-
que, ",173437,Monsieur,PER,PER,173445,", loi économique !

— La scien"
