Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
tenus accessibles sur le site ,254,Gallica,PER,MISC,261," sont pour la plupart
des repr"
" paraître prochainement :

La ",4101,Malhonnête,PER,LOC,4111," Femme, roman.

 

Ua clé tiré"
"ur passer
ainsi la frontière? ",5602,Mon,MISC,,5605," Dieu ! j'avais voulu voir le
"
"asser
ainsi la frontière? Mon ",5606,Dieu,MISC,,5610," ! j'avais voulu voir le

roi "
"e Georges,
comme vous savéz — ",6719,Georges,PER,,6726," Randal. — Eh 1 bien,
puisque "
'est trop difficile d’être un ,40128,cancre,PER,,40134,". Je suis un élève
médiocre. J"
"ion
pèse sur moi. Je suis volé",42825,",",PER,,42826," et je ne puis pas me dés
tend"
" pour me défendre, si je suis
",46453,riche,LOC,,46458," et pour attaquer, si je suis "
"rends donc cette Histoire
des ",51218,Morts,PER,,51223," — tout ça, c’est les procès v"
 Morgues — cette Histoire des ,51302,Morts,PER,,51307," qu'on
nous enseigne en dédain"
"je fais cas-
cader le dactyle ",52863,dansant,PER,,52870,". Je m'imprègne des grandes
le"
"

a Yan

mn que mer mr ro rm ",53620,qe,PER,,53622," tr -. * -. ss"" "" Li -
F V7 * "
stée au fond de laboîte. Je n’,55785,espère,PER,,55791," pas. Je veux.

.« Qu'un homme"
"t ouverte aux talents. |

Mon ",58095,oncle,PER,,58100," s'amuse un peu, en me disant "
" j'ai visité les pré-
toires. ",67751,Monsieur,PER,,67759,", c’est absolument piteux. Mai"
"pas ton corps »,
a dit Isaïe. ",68883,Monsieur,PER,,68891,", je ne connais point de parol"
"point de parole
plus haute. — ",68937,Riche,LOC,MISC,68942, ! ne méprise pas ton corps ; 
"moment qu'il est
obligatoire, ",70213,Obligatoire,PER,MISC,70224, ! tout l’est à présent : inst
"règle, correct, légal...

Mon ",75969,oncle,PER,,75974,", c’est un homme d’ordre; une "
"
2m ND + .
WPENE TETE
' Fe ;

",81223,IN,PER,,81225," an

4 ar. ei
BEF ge

LE VOLEU"
"ils ne
purent être empereurs, ",84518,Charles,PER,,84525,"-Quints avortés- en
Gilles de "
pas plaisanter avec M. Urbain ,86568,Randal,PER,,86574,".

Mais ça, c’est une règle qu"
" à la
gorge et lui crier : &« ",90609,Menteur,PER,MISC,90616,"! Voleur ! » ‘C’est au-
jourd'"
"eux pas!

— À quoi penses-tu, ",90767,Georges,PER,MISC,90774," ?. crie mon oncle
d’une voix "
ar des valeurs dont voici. la ,92869,liste,PER,,92874,".

- Il me tend une feuille de"
"t possible, répond mon oncle. ",93072,Lis,PER,,93075," un jour-

_nal. Ou plutôt, ad"
", il n’y a rien
de tel que le ",95397,Respect,PER,LOC,95404,. J'en ai fait l'expérience. L
"ez
aussi à Maisons-Lafitte, j'",98829,espère,PER,,98835,", monsieur Georges ?
_ — Non, "
"tre d’Issacar qui m'appelle
à ",99111,Bruxelles,PER,LOC,99120,". Mais, surtout je ne tiens pa"
"it de retour. C’est si

joli, ",99625,Maisons,PER,,99632,-Lafitte ! Et les courses ! Qu
"t-elle dans l’antichambre.

— ",100306,Maisvousécoutezdoncaux,PER,LOC,100328," portes, petitesoubrette?

— C"
"ersuader. Je ne partirai pour
",100819,Bruxelles,PER,LOC,100828," qu’après-demain matin, et la "
"
main sur les coupables.

Mon ",104724,oncle,PER,,104729," ricane.

— Les coupables ! di"
"sur les coupables.

Mon oncle ",104730,ricane,PER,,104736,".

— Les coupables ! dit-il. N"
"e ju-
gement qu’elle a porté, ",114629,nerveux,PER,,114636," et partial, a été la né:
gati"
"ur d’orage,
dans le jardin de ",118511,Maiïsons,PER,,118519,"-Lafitte, où sa robe blanche
f"
" d'elle-même, en

tous cas. — ",125605,Illégalement,PER,MISC,125617,". — Soit. C'est ce qu'a fait
C"
" com-
prends. Une vengeance ? ",126476,Ou,PER,,126478," un chantage ? — Nil'an
ni l’a"
"

— Dis-moi ce que tu penses, ",130774,Georges,PER,MISC,130781," ! Je t'en
prie, dis-le moi, s"
"eu ne m'en empêcherait
pas. J'",134509,espère,PER,,134515, que tu ne me quitteras pas; t
