Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"nt jamais sorti de mon trou. 
",1438,– Monsieur,PER,PER,1448, est sans doute un ami de M. R
"; je n'ai pas cet honneur. 
– ",1589,Tiens,MISC,MISC,1594,", c'est drôle. Je vous aurais "
"ins du monde. 
– J'espère que ",3837,Monsieur,PER,PER,3845," sera satisfait, dit l'hôtesse"
es messieurs ont dû le dire à ,3962,Monsieur,PER,PER,3970,". 
J'esquisse un sourire. 
J'a"
lui-même m'en donne le moyen. ,7363,Lequel,PER,PER,7369, ? Vous le verrez. Mais je vie
"ait écrit, d'avance, le sieur ",7599,Randal,PER,PER,7605,. -- Tant pis pour lui ; tant 
" respect de la propriété, que ",7813,Messieurs,PER,PER,7822, les voleurs commencent -- pou
ait grand temps ; et ma tante ,10128,Augustine,PER,PER,10137,", en termes voilés, a mis mon "
"ères ont la larme à l'œil. 
– ",12315,Cher,LOC,LOC,12319, petit ! Comme il a dû travail
ai été très désillusionné. Le ,19574,Gambetta,PER,PER,19582, que j'ai vu n'est point celui
"ends ? 
Je n'ai pas rencontré ",28614,Albert,PER,PER,28620,". Mais le surlendemain matin, "
"dans cette main-là. 
– Adieu, ",30437,Monsieur,PER,PER,30445,". 
Alors, M. Dubourg est parti"
"robes de sa fille, ma cousine ",35454,Charlotte,PER,PER,35463,", qui commence à porter des ju"
ina ; et aussi au triomphe de ,45187,César,PER,PER,45192,". L'empire Romain s'établit, à"
me à lire dans un bois » ; et ,45974,Homère,PER,PER,45980,", « jeune encor de gloire. » J"
"es du Vatican, que j'ignore ; ",46073,Michel-Ange,PER,PER,46084,", pour le Jugement Dernier, qu"
Boileau a mon admiration ; et ,46165,Malherbe,PER,PER,46173,", qui vint enfin. Je sais que "
", qui vint enfin. Je sais que ",46203,Molière,PER,PER,46210, est supérieur à Shakespeare e
"ment sur ses instincts, a dit ",47047,Emerson,PER,PER,47054,", et le monde entier viendra à"
"que le casque ? Et le pétase, ",48508,Messieurs,PER,PER,48517, ! Inutile d'aller plus loin..
"plus loin... 
Oui, inutile ; 
",48566,Claudite,PER,PER,48574," jam rivos, pueri, sat prata b"
"nieur. Où, comment j'ai connu ",52214,M. Issacar,PER,PER,52224,", c'est assez difficile à dire"
"jours lui qui fait la vôtre. 
",52385,M. Issacar,PER,PER,52395, compte beaucoup sur moi ; il 
r le hasard des promiscuités. ,52642,M. ,PER,PER,52645,Issacar est un homme habile ; 
e hasard des promiscuités. M. ,52645,Issacar,MISC,MISC,52652, est un homme habile ; il a de
