Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"de reutilisation
particulier. ",1531,Msagit,PER,PER,1537,".
es reproductions de docurnen"
"nt jamais sorti de mon
1702.
 ",6106,Monsieur,PER,PER,6114, est sans doute un ami de M. K
" nom Sur le re-
Pistre.
 Non, ",6218,Madame,PER,PER,6224," , je n'ai pas cet honneur..
."
ccomme vous savez - Cieoroes. ,6646,Randal,PER,PER,6652,". - Fh! bien,
huisque vous le "
"oins du monde.
 J'espère que ",8544,Monsieur,PER,PER,8552," sera satisfait, dit l'hôtes5"
s messieurs ont du le dire à ,8672,Monsieur,PER,PER,8680,".
lesquisse un Sourire.
.
I
 l"
"e que contenait la valise de.
",8986,M. Randal,PER,PER,8995,". Curiosité malsdine,. je l'a"
"́ la
lecture des mémoires de ",10861,M. Randal,PER,PER,10870," . L'appellerai-je
Monsieurd  "
"it écrit,
d'avance, le sieur ",12387,Randal,PER,PER,12393,". - Lant bis pour lui: tant
pi"
". on m'habillera cn
lérard a ",19983,Cornes,PER,PER,19989," quand je serdi academicien ?
"
"men d radicalement
COwrige.
. ",29350,Mne,PER,PER,29353," faut pas mangertes ongles, ma"
"us importuner plus longtemps, ",36941,M. Randal,PER,PER,36950,": je vais
Yous quittet... Au r"
"ts dans
Cette main ld.
Adicu, ",37115,Monsieur,PER,PER,37123,".
alors, M. Dubourg est parti."
"
Boileau d mon admiration, et ",53210,Malherbe,PER,PER,53218,", qui vint
enkn. Je sdis que M"
"crois que l'appui gu'lsaccar.
",70843,Cohtiendra,PER,PER,70853, de moi aurd plutot un caracte
"clui, et lorsqu'il a dir
 a l'",83332,abbe Eamargelle,PER,PER,83347," qui, depuis quelque temps dej"
"les fenillets des do
Cuments, ",84343,d Mnesure,PER,PER,84352, quil parle et les pose devant
"il est Charinante
pour toi et ",93122,Edouard,PER,PER,93129," est enchanté de te voir, il "
"rite, la temme. de chambre de ",93325,Hme Montarcuil,PER,PER,93339,",
une jolie Alle pas trop faro"
