Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"ître, s'il le faut, devant le ",674,Procureur du Roi,,PER,690,". (Ça se passe en Belgique.) 
"
 devant le Procureur du Roi. (,693,Ça,,MISC,695," se passe en Belgique.) 
Ça se"
ureur du Roi. (Ça se passe en ,708,Belgique,,LOC,716,".) 
Ça se passe en Belgique. J"
". (Ça se passe en Belgique.) 
",720,Ça,,MISC,722, se passe en Belgique. J'avais
"en Belgique.) 
Ça se passe en ",735,Belgique,,LOC,743,. J'avais été faire un petit v
 Dieu ! j'avais voulu voir le ,936,roi Léopold,,PER,947,", avant de mourir. Un dada. Je"
jamais vu de roi. Quel est le ,1016,Républicain,,ORG,1027," qui ne me comprendra pas ? 
J"
"
J'étais entré, en arrivant à ",1085,Bruxelles,,LOC,1094,", dans le Premier hôtel venu, "
"arrivant à Bruxelles, dans le ",1104,Premier hôtel,,MISC,1117," venu, l'hôtel du Roi Salomon."
"remier hôtel venu, l'hôtel du ",1135,Roi Salomon,,LOC,1146,. Je ne me fie guère aux maiso
ieur est sans doute un ami de ,1474,M. Randal,,PER,1483,", me dit l'hôtelière comme je "
" nom sur le registre. 
– Non, ",1552,Madame,,PER,1558," ; je n'ai pas cet honneur. 
–"
le même prénom ; il s'appelle ,1937,Georges,,MISC,1944, comme vous savez -- Georges R
e Georges comme vous savez -- ,1965,Georges Randal,,PER,1979," -- Eh bien, puisque vous le c"
nde ici. Ces messieurs sont à ,2397,Spa,,LOC,2400,", à Dinan, à Ostende, ou bien "
". Ces messieurs sont à Spa, à ",2404,Dinan,,LOC,2409,", à Ostende, ou bien dans les "
"sieurs sont à Spa, à Dinan, à ",2413,Ostende,,LOC,2420,", ou bien dans les villes d'ea"
u bien dans les villes d'eaux ,2453,de France,,LOC,2462, ou d'Allemagne ; partout où i
 villes d'eaux de France ou d',2468,Allemagne,,LOC,2477, ; partout où il y a du travai
"est bien certain. Mais,... 
– ",3507,Ah !,,MISC,3511, j'oubliais. La valise qui est
" coin, là, c'est la valise de ",3579,M. Randal,,PER,3588, ; il n'a pas voulu l'emporter
"qu'elle ne vous embarrasse ? 
",3796,– Pas,,PER,3801," le moins du monde. 
– J'espèr"
 -- car j'avais appris que le ,4099,roi Léopold,,PER,4110, était enrhumé et qu'il ne sor
ce que contenait la valise de ,4263,M. Randal,,PER,4272,". Curiosité malsaine, je l'acc"
ose et désœuvré ? Pourquoi le ,4424,roi Léopold,,PER,4435, était-il enrhumé ? Autant de 
"a bouclaient. Je n'aurai pas, ",4656,Dieu merci,,MISC,4666,", une effraction sur la consci"
 petite bouteille étiquetée : ,4926,Chloroforme,,LOC,4937,. Ne l'ouvrons pas ! Une boîte
né la lecture des mémoires de ,6086,M. Randal,,PER,6095, -- l'appellerai-je Monsieur ?
 ? Le renvoyer par la poste ? ,6397,Impossible,,MISC,6407,", mon départ précipité a dû dé"
rassante. Comment en sortir ? ,7309,Eh !,,MISC,7313," bien, le manuscrit lui-même m"
"ur qu'on sache où ça finira. 
",7881,Finir !,,MISC,7888," C'est ce livre, que je voudra"
n ou du mal (je l'ignore.) -- ,8671,J'ai essayé ;,,MISC,8684, pas pu. Je ne sais point comm
"is point comment il écrit, ce ",8731,Voleur-là ;,,MISC,8742, mes phrases n'entrent pas dan
"sonnage, un ancien élève de l'",9106,École Polytechnique,,ORG,9125,", par exemple, qui, tout le lo"
"olume, aurait dit son fait au ",9192,Voleur,,MISC,9198,. Il aurait suffi de le faire 
" une question de conscience. 
",9658,Moi qui ai volé le Voleur,,MISC,9683,", je ne puis guère le flétrir."
" ai pas le droit. Peut-être. 
",9896,Georges Darien,,PER,9910,". 
Londres, 1896. 
I -- AURORE"
" Peut-être. 
Georges Darien. 
",9913,Londres,,LOC,9920,", 1896. 
I -- AURORE 
Mes pare"
"rges Darien. 
Londres, 1896. 
",9929,I,,LOC,9930," -- AURORE 
Mes parents ne peu"
"
Londres, 1896. 
I -- AURORE 
",9942,Mes parents ne peuvent plus faire autrement,,MISC,9985,". 
Tout le monde le leur dit. "
s y pousse de tous les côtés. ,10050,Mme Dubourg,,PER,10061, a laissé entendre à ma mère q
"és, a mis mon père au pied du ",10183,mur,,MISC,10186,". 
– Comment ! des gens à leur"
"s mon père au pied du mur. 
– ",10191,Comment !,,MISC,10200," des gens à leur aise, dans un"
"ssurés, on comprend ça. Mais, ",10436,sapristi,,PER,10444," !... Et la fortune amassée, o"
"oui, il vous faut un enfant. 
",10919,Eh !,,MISC,10923," bien, puisque tout le monde l"
"oute ma vie, disait plus tard ",11173,Aglaé,,PER,11178,", la cuisinière ; il faisait u"
nvoqués pour la circonstance. ,11990,Solennité majestueuse !,,MISC,12013, Cérémonie imposante ! La robe
"ant-là. Vous le voyez, hein ? ",12254,Eh !,,MISC,12258," bien, c'est à moi ! 
Les mère"
 ! Comme il a dû travailler ! ,12355,Ah !,,MISC,12359," c'est bien beau, l'instructio"
"ressaillir des châles-tapis. 
",12682,Et je sors de là acclamé,,MISC,12706,", triomphant, avec le fil de f"
"quand je serai académicien ? 
",13419,Car j'irai loin,,MISC,13434,. On me le prédit tous les jou
 me le prédit tous les jours. ,13468,Sic itur ad astra,,MISC,13485,". 
J'ai le temps, d'ailleurs. "
"ute la candeur de l'enfance. 
",13661,Candeur !,,MISC,13670,... Mon enfance ? Je ne me rap
" souvenirs ? Si vous voulez. 
",14971,Mon père ?,,MISC,14981," j'ai deux souvenirs de lui. 
"
" j'ai deux souvenirs de lui. 
",15011,Un dimanche,,MISC,15022,", il m'a emmené à une fête de "
urniquets chargés de pavés de ,15150,Reims,,LOC,15155,", de porcelaines utiles et de "
" Tu vas voir, a-t-il dit, que ",15263,Phanor,,LOC,15269," est plus adroit que toi. 
Il "
un coup de patte autoritaire. ,15410,Phanor,,PER,15416," a gagné le gros lot, un grand"
 plus grave. Il m'a fait voir ,16210,Gambetta,,PER,16218,. C'était au Palais de Versail
ait voir Gambetta. C'était au ,16231,Palais de Versailles,,LOC,16251,", où se tenait alors l'Assembl"
"sailles, où se tenait alors l'",16274,Assemblée Nationale,,ORG,16293,. La séance était ouverte quan
chevaux. J'ai cru que c'était ,16490,Gambetta,,PER,16498,". 
Mon père s'est mis en colèr"
Comment ! je ne reconnais pas ,16561,Gambetta,,PER,16569, ! Il est assez facile à disti
as le retirer d'un collège de ,16751,Jésuites,,ORG,16759," ? 
Si, on me l'a dit mille fo"
quand ils le mettent chez les ,16885,Jésuites,,ORG,16893,", mais qu'il doit leur obéir a"
"ils l'enferment ailleurs ! 
– ",16971,Ah !,,MISC,16975," tu es vraiment bien nigaud, m"
"gité. Et puis, je croyais que ",17642,Gambetta,,PER,17650," ne quittait pas la tribune, q"
'Histoire et il reconnaîtrait ,18010,M. Thiers,,PER,18019," à une demi-lieue... 
Puis, il"
"tourne vers moi. 
– Le voilà, ",18083,Gambetta,,PER,18091," ! Tiens, là, là ! 
Oui, c'est"
"te. 
– C'est bien dommage que ",18637,Gambetta,,PER,18645," n'ait pas parlé, dis-je à mon"
s promis de te faire entendre ,18897,Gambetta,,PER,18905, ; ça ne dépend point de moi. 
"d'extraordinaire, je pense ? 
",19048,Moi ?,,MISC,19053, Pas du tout. Je ne m'attendai
