Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"nt jamais sorti de mon trou. 
",1438,– Monsieur,PER,PER,1448, est sans doute un ami de M. R
ieur est sans doute un ami de ,1474,M. Randal,PER,PER,1483,", me dit l'hôtelière comme je "
"; je n'ai pas cet honneur. 
– ",1589,Tiens,MISC,MISC,1594,", c'est drôle. Je vous aurais "
" coin, là, c'est la valise de ",3579,M. Randal,PER,PER,3588, ; il n'a pas voulu l'emporter
"ins du monde. 
– J'espère que ",3837,Monsieur,PER,PER,3845," sera satisfait, dit l'hôtesse"
es messieurs ont dû le dire à ,3962,Monsieur,PER,PER,3970,". 
J'esquisse un sourire. 
J'a"
ce que contenait la valise de ,4263,M. Randal,PER,PER,4272,". Curiosité malsaine, je l'acc"
né la lecture des mémoires de ,6086,M. Randal,PER,PER,6095, -- l'appellerai-je Monsieur ?
"ait écrit, d'avance, le sieur ",7599,Randal,PER,PER,7605,. -- Tant pis pour lui ; tant 
" respect de la propriété, que ",7813,Messieurs,PER,PER,7822, les voleurs commencent -- pou
ait grand temps ; et ma tante ,10128,Augustine,PER,PER,10137,", en termes voilés, a mis mon "
"ment justifiées, ce n'est pas ",20386,Gambetta,PER,PER,20394,", ni même M. Thiers, qui symbo"
"être le mieux... 
Silence. 
– ",30184,Eh !,MISC,MISC,30188," bien, a-t-il murmuré, je ne v"
"us importuner plus longtemps, ",30260,M. Randal,PER,PER,30269, ; je vais vous quitter... Au 
"dans cette main-là. 
– Adieu, ",30437,Monsieur,PER,PER,30445,". 
Alors, M. Dubourg est parti"
"robes de sa fille, ma cousine ",35454,Charlotte,PER,PER,35463,", qui commence à porter des ju"
n'est censé ignorer la loi. » ,41344,Est,LOC,LOC,41347,"-ce que c'est classique, ça, o"
"il convient, à la victoire de ",45140,Cicéron,PER,PER,45147, sur Catilina ; et aussi au tr
ina ; et aussi au triomphe de ,45187,César,PER,PER,45192,". L'empire Romain s'établit, à"
or de gloire. » J'estime fort ,46023,Raphaël,PER,PER,46030," pour les Loges du Vatican, qu"
"es du Vatican, que j'ignore ; ",46073,Michel-Ange,PER,PER,46084,", pour le Jugement Dernier, qu"
Boileau a mon admiration ; et ,46165,Malherbe,PER,PER,46173,", qui vint enfin. Je sais que "
"ment sur ses instincts, a dit ",47047,Emerson,PER,PER,47054,", et le monde entier viendra à"
"rais-je ? Tu sais que, depuis ",48999,Bonaparte,PER,PER,49008,", la carrière est ouverte aux "
"nieur. Où, comment j'ai connu ",52214,M. Issacar,PER,PER,52224,", c'est assez difficile à dire"
"jours lui qui fait la vôtre. 
",52385,M. Issacar,PER,PER,52395, compte beaucoup sur moi ; il 
