Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"LA HIEHIE LIBRAIRIE
N°
1.a
DU ",3850,MÉME,PER,,3855," AUTEUE
Fas les Caeurs, 1970.1"
"passer.
ainsi la frontière ? ",5539,Mon,MISC,,5542," Dieu ! r'avais voulu voir le
"
"'étais entre, en arrivant it ",5725,Bruxelles,PER,LOC,5734,", dans le premier
hôtel venu,"
" !...
a. Une jolie chambre, n'",6908,estce,PER,,6913," pas ? l'airu des dames.
me la"
"́ressant. des terrailles, des ",9498,in5,PER,,9501,"
truments d'acier de différen"
"avec des
Toulettes dedans. Du ",9750,estce,PER,,9755," que c'est que ca? Ny to4-
cho"
p. dans une maison pareille - ,10598,Mne,PER,,10601,"
maison ou l'on était si bien"
"iale superbe, avec une santé ",16829,Roris,MISC,,16834,"
i Sante, vivre seuls J He pas"
" quand nous Soimtnes Cntrés,
",23012,In,PER,,23014," monsieur chauve, forrikie d'u"
"Cd..
Ttilpose son doigtsur la ",32806,Mdrge,PER,LOC,32811,".
i Pres veré, je fermne brus"
"epuis vingt dl5...
 Silence.
 ",36398,Iditquila,PER,,36407, éré un grand misérable de 
"autre avec une ironie un peu.
",38244,Merwcuse,PER,MISC,38252,. Je suis porté a croire que 
d'être un cancre. Je suis un ,39102,elêve,PER,,39108," i
médiocre. J'erre mélancol"
" riche ; je serai
Deut Etre I ",40986,pAuVTE,PER,,40992,".
J'ai peurdetre un paupre . e"
"our mne détendre, si je suis
",45401,riche,LOC,,45406," et pour aftaquer, si je suis "
"protesseurs, catjene
Suis p2s ",49502,Comine,PER,,49508, beaucoup d'autres enfants qui
"ds donc cetre Elistoire f
des ",50071,Morts,PER,,50076," - Tout Cd, c'est les procès "
Morques - cette tlistoire des ,50158,Morts,PER,LOC,50163," qu'on i
nous cnscigne en déd"
"lis beaucoup de papier, et je
",50634,Gache,LOC,PER,50639," beaucoup dencre pour faire, d"
"je fais Cas-
cader le dactyle ",51672,dansant,PER,,51679,. Je m'imprègne des grandes i
"s des Barbares ont
cu du bon, ",52411,pourquoi,MISC,,52419," pas ? Ouant aux Anglais, je s"
"st ouverte dun talents...
Mon ",56046,oncle,PER,MISC,56051," s'amuse un peu, en me disant "
"itude -- pour ricn...
Wais qu'",58109,estce,PER,,58114," qu'il faudra que je fasse, d "
"oyer, m'a dit lssacar, que ca ",62788,Marche,PER,,62794,"
Comlmne sur des roulettes. Ia"
"he
Comlmne sur des roulettes. ",62822,Iaissermnoifaire,PER,MISC,62838,". Dans six
mois j'aurai l'opti"
"s
Quicèse Megceule Cate 1 ue ",65079,Mosniceies,PER,,65089," tes e e diene
 indiquent la d"
"cntegimenter, hivcler, former ",67563,Mne,PER,,67566,"
Societé -- Quel mot dérisoi"
"ornent qu'il est
obligatoire. ",67740,Obligatoire,LOC,,67751, ! tout l'est d présent. inst
"ne coinme Cd peut étre darl-
",68535,Gereux,PER,LOC,68541,", je laccorde, pour ceur qui v"
"doit etre en règle, correct, ",73460,légdl,PER,,73466,"...
Mon oncle, c'est un hommme"
"hevrotante du tauxbonhomine :
",74444,Cllesonne,PER,LOC,74453, comnme le ricanenlent du carn
"doiti
le considerer comine un ",76745,Serviteur,PER,,76754," adroit et Un ines.
sager kdil"
"eante, dépen. i
siere : fort ",77906,jolie,MISC,,77911," surtout. Mon oncle, le leadem"
"tre cmpercurs, Charles Quints ",81839,avortés,PER,,81847,". eni
Cilles de Rais...
Se voi"
pas plaisanter avec M. Urbain ,83741,Randal,PER,,83747,".
Mais Ga, c'est une règle qu"
s actes. C'estle ingement des ,84277,Morts,PER,MISC,84282,".
les mains dures font craquer"
 mlemoires - Ces memioires in ,84541,Memo-,MISC,ORG,84546,"
riam. - Leurs chiffres signih"
"e a la
Gorge et lui crier : A ",87479,Menteur,PER,MISC,87486,"! Voleur! n Cestdu
jourd'hui, "
"stpossible, repond mon oncle. ",89911,Lis,PER,,89914," un jour.e
ate du phaiée atic"
"e, il ny a rien
de tel que le ",92058,Respect,PER,LOC,92065,. J'en di fait l'expérience. 
"t tout enlevé,
Tout, titres, ",98277,Valeurs,PER,ORG,98284,", bijoux. Lesecrétaire de Htm"
"
mdinsur les coupables...
Mon ",100913,oncle,PER,,100918," ricane.
les coupables ! ditil"
leve et marche nerveusemnent. ,101041,In,PER,,101043," seul con-
pable ! Oue veut il"
. C'ect la qu'est la bérise. ,102493,Duune,PER,LOC,102498,"
femme, a n'immportequelage, s"
"ir.
 Souvent, l'entretenait - ",102635,Maigreinent,PER,,102646,", Cest Vrai; jai-
wu des lettr"
"ur d'ordge,
dans le jardin de ",114112,Maisons,PER,,114119," Lahtte, oil sd robe blanche
f"
"in d son
père, et d lui tout ",118921,ayouer,PER,,118927,"; je dois luifaire part, au.
j"
"arler sans m'inter.
rompre. y ",119347,In,PER,LOC,119349," n'auras pas ma klle, mn dtil "
e fois que je vendis le voir. ,128791,Pardonnemoi,PER,LOC,128802,", je
Sentais quC td souffrance"
"r moi, 
pOur... Lentant... Et ",131259,Surtout,PER,,131266," pour toi. Oh! j'aurais
tant d"
"stitués, du milicul. Seule-
 ",139235,Ments,PER,,139240," Quand on a dit cela, ou na p2"
"pour base d'apprécis.
Tiom.
 ",141253,Biencutendu,PER,,141264," , le Code, c'est la conscienc"
"d Accaparer toute la terre, d ",143019,Mo-,PER,,143022,"
Mopoliser toutes les valeurs,"
"rdindires, une sorte de Bachi ",144419,Bourout,PER,,144426,"
Au capitalisme. C'estun étre"
diate de la mise en train des ,146049,Mduvdises,PER,,146058," machines
Gouvernementales, un"
eurun individu possédant une ,146383,Mo-,PER,,146386,"
ralité spéciale qui lui enl"
