Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
(b) ,4,Caltica,PER,PER,11,"
levoleur. roMan(Ccorges
Darie"
"s
Darien
101
A8IS
083
a11
180
",64,"Vrau
Darien",PER,PER,75,", Georges (18621922). Auteur d"
"de reutilisation
particulier. ",1531,Msagit,PER,PER,1537,".
es reproductions de docurnen"
d'utilisation des contenus de ,2303,Callicd,PER,PER,2310,"
sont regies par la loi franga"
I Pour obtenir un document de ,2816,Callicd,PER,PER,2823," en haute détinition,
Contact"
"les Caeurs, 1970.1871. roudn, ",3897,I Yolume,PER,PER,3905,".
Birihi, armée d'Afrique, ro"
"resse.
 d d   e 
Salnr AMadD, ",4266,Chrh,LOC,LOC,4270,. - IMPAfhlhll BU5sihhE FhEnES
" un notaire, ni légue par un
",5133,Caisfier,LOC,LOC,5141,".
I
 e Vaivole.
l'avoue mon cr"
"passer.
ainsi la frontière ? ",5539,Mon Dieu !,MISC,MISC,5549," r'avais voulu voir le
roi Lé"
"nt jamais sorti de mon
1702.
 ",6106,Monsieur,PER,PER,6114, est sans doute un ami de M. K
ieur est sans doute un ami de ,6140,M. Kandal,PER,PER,6149,",
me dit l'hotetiere comme je "
ccomme vous savez - Cieoroes. ,6646,Randal,PER,PER,6652,". - Fh! bien,
huisque vous le "
"e coin, la
C'est la valise de ",8282,M. Randal,PER,PER,8291," : il n'a pas voulu l'empor
 t"
"oins du monde.
 J'espère que ",8544,Monsieur,PER,PER,8552," sera satisfait, dit l'hôtes5"
s messieurs ont du le dire à ,8672,Monsieur,PER,PER,8680,".
lesquisse un Sourire.
.
I
 l"
"e que contenait la valise de.
",8986,M. Randal,PER,PER,8995,". Curiosité malsdine,. je l'a"
"audrait répondre avant de me
",9255,Jugor,PER,PER,9260," trop séverement.
aret, jouvr"
"a bouclaient. Je n'Aurai pa5,
",9392,Dieu,MISC,MISC,9396," merci, une effraction Sur la "
"́ la
lecture des mémoires de ",10861,M. Randal,PER,PER,10870," . L'appellerai-je
Monsieurd  "
" je faire, de ce manitserit?
 ",11042,Lerestituer,PER,PER,11053, !. me crie une voix intérieu
"it écrit,
d'avance, le sieur ",12387,Randal,PER,PER,12393,". - Lant bis pour lui: tant
pi"
"pect de la pro.
priété, que ",12604,Messieurs,PER,PER,12613, les voleurs commencent - pour
"e Voleur, je ne puis ouere de ",14511,Retrir,PER,PER,14517,".
V7
AVANT TRODOS
Due d'autres"
"ul a n'en aroir pas le droit.
",14758,Dentetre,PER,PER,14766,".
Londres, 1806.
 d  ded d 
GT"
"y pousse de tous
i Lescotés. ",16589,Mme Dubourg,PER,PER,16600, d laissé entendre a Ma Mère
"tait grand temps, et md tante ",16671,Augustine,PER,PER,16680,", en
 termes voilés, d mis in"
"e vous diricr, d présent, si ",17948,Jappd-,PER,PER,17954,"
raissdis d vous en costume de"
"eres ont la larmre a l'acil.
 ",18876,Cher,LOC,LOC,18880, petit! Comme il a dit travail
". on m'habillera cn
lérard a ",19983,Cornes,PER,PER,19989," quand je serdi academicien ?
"
"uand ils le met
tent cher les ",23555,Jésuites,LOC,LOC,23564,", mais qu'il doit leur obéir "
"que j'aurais peur, en ballon. ",26155,Dureste,PER,PER,26162,", bien
que je ne l'avouequ'a m"
"e retu..
4.
4
d
1
LE VOLEUE
9
",30277,Gier,LOC,LOC,30281,", sans etre Vu, derriere le fe"
" lis le
Contrat de louage, le ",31533,Régime,LOC,LOC,31540," dotal, beaucoup d'autres
chos"
"'aiun dutte SOuvcnir, CuCOTC.
",33082,M. Dubourg,PER,PER,33092, est un ami de la famille. C'e
"n con-
vientsans diffculté : ",33365,Dubourg,PER,PER,33372,", c'est lhonneteré en
personn"
les domestiques. I pardit que ,33775,M. Dubourg,PER,PER,33785," s'est
malconduit... Les déto"
"rtide ne plus se gener devant
",33974,Mol,PER,PER,33977,".
 Dubourg peutse Ratter d'avo"
" son journdl, je vois arriver
",35441,M. Dubourg,PER,PER,35451,". Id domestique, par bétise o"
