Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"mais sorti de mon
trou. |

.— ",6186,Monsieur,PER,PER,6194, est sans doute un ami de M. R
ieur est sans doute un ami de ,6220,M. Randal,PER,PER,6229,",
me dit l'hôtelière comme je "
"ur le re-
gisire. | |

— Non, ",6304,Madaine,PER,PER,6311,"; je n'ai pas cet honneur.

— "
"; je n'ai pas cet honneur.

— ",6341,Tiens,MISC,MISC,6346,", c'est drôle. Je vous aurais "
" coin, là,
c’est la valise de ",8386,M. Randal,PER,PER,8395," ; 1l n'a pas voulu l’empor-
l"
"ins du monde.

— J'eshère que ",8646,Monsieur,PER,PER,8654," sera satisfait, dit l'hôlesse"
es messieurs ont dû le dire à ,8771,Monsieur,PER,PER,8779,".

J'esquisse un sourire. |

J"
"ce que contenait la valise de
",9074,M. Randal,PER,PER,9083,". Curiosité malsaine,.je l'acc"
"a bouclaient. Je n'aurai pas,
",9471,Dieu,MISC,MISC,9475," merci, une effraction sur la "
"e. À quoi ça peut-il
servir ? ",9699,Mystère,PER,PER,9706,. Une petite bouteille éfiquet
"né la
lecture des mémoires de ",10932,M. Randal,PER,PER,10941," — l'appellerai-7e
Monsieur ? "
"e M. Randal — l'appellerai-7e
",10960,Monsieur,PER,PER,10968, ? — maintenant que j'ai en in
"ait écrit,
d'avance, le sieur ",12548,Randal,PER,PER,12554,". — Tant pis por lui; tant
pis"
"spect de la pro-

priété, que ",12764,Messieurs,PER,PER,12773, les voleurs commencent — pour
"s y pousse de tous
les côtés. ",17069,Mme Dubourg,PER,PER,17080," a laissé entendre à ma mère
q"
tait grand temps; et ma tante ,17146,Augustine,PER,PER,17155,", en
termes voilés, a mis mon "
"ères ont la larme à l'œil.

— ",19367,Cher,LOC,LOC,19371, petit ! Comme il a dû travail
 chevaux. Jai cru que c'était ,23868,Gambetta,PER,PER,23876,".

Mon père s’est mis en colèr"
"e.

— (C'est bien dommage que ",26034,Gambetta,PER,PER,26042," n'ait pas
parlé, dis-je à mon"
"es, me représenter un homme d'",27668,Etat,LOC,LOC,27672,", c’est
son visage que j’évoqu"
"té la
France dans le fiacre à ",28071,Louis-Philippe,PER,PER,28085,", dont la blan-
chisseuse avai"
"en a radicalement
corrigé.
 — ",30173,Jine,PER,PER,30177," faut pas mangertes ongles, m "
" con-
vient sans difficulté : ",34258,Dubourg,PER,PER,34265,", c’est l'honnêteté en
personn"
es domestiques. Il paraît que ,34672,M. Dubourg,PER,PER,34682," s’est
mal conduit... des déto"
" son journal, je vois arriver
",36425,M. Dubourg,PER,PER,36435,". La domestique, par bêtise ou"
"uit
jours avant midi. |

Mais ",36584,M. Dubourg,PER,PER,36594, est à dix pas. Je sens que je
"nt par le bras.

— Reste là!

",36824,M. Dubourg,PER,PER,36834, parle depuis cinq minutes ; d
"ien.
Rien ; pas un mot.

: M. ",37057,Dubourg,PER,PER,37064, continue. Il dit que des symp
"us importuner plus longtemps, ",37984,M. Randal,PER,PER,37993," ; je vais
vous quitter... Âu "
"dans
cette main-là.

— Adieu, ",38163,Monsieur,PER,PER,38171,".

Alors, M. Dubourg est parti"
".

— Adieu, Monsieur.

Alors, ",38181,M. Dubourg,PER,PER,38191, est parti. Il s’en est allé à
"robes de sa fille, ma
cousine ",43310,Charlotte,PER,PER,43319,", qui commence à porter des ju"
n’est censé ignorer la loi. » ,49481,Est,LOC,LOC,49484,"-ce que c’est
classique, ça, o"
ina ; et aussi au triomphe de ,53990,César,PER,PER,53995,".
L'empire Romain s'établit, à"
or de gloire. » J’estime fort ,54828,Raphaël,PER,PER,54835," pour
les Loges du Vatican, qu"
"ges du Vatican, que j'ignore; ",54877,Michel-Ange,PER,PER,54888,",
pour le Jugemént Dernier, qu"
Boileau a mon admiration ; et ,54969,Malherbe,PER,PER,54977,", qui vint
enfin. Je sais que "
"distingue soigneusement
entre ",55153,Bossuet,PER,PER,55160,", qui était un aigle, et Fénel"
"ement sur sesinstincts,
a dit ",55864,Emerson,PER,PER,55871,", et le monde entier viendra à"
"que le casque ? Et le pétase,
",57335,Messieurs,PER,PER,57344, ! Inutile d’aller plus loin. 
"nieur.
Où, comment j'ai connu ",61325,M. Issacar,PER,PER,61335,", c'est assez diffi-
cile à di"
"le hasard des promis-
cuités. ",61761,M. Issacar,PER,PER,61771, est un homme habile ; il a de
"

ra
EI
on

PRE ES
rt

4
le

",68669,Érerÿ,PER,PER,68674,",
UE

RP RT PEUR ELERE
RS OT D"
"éprise pas ton corps »,
a dit ",68876,Isaïe,PER,PER,68881,". Monsieur, je ne connais poin"
"alisme n’est pas à Îa
mode... ",69619,Parbleu !,MISC,MISC,69628," Comment voudriez-vous, si l’i"
"rd
Montareuil, que ma cousine ",74336,Charlotte,PER,PER,74345," va se marier.
Pas un mauvais "
"l à définir. Une jolie brune, ",74635,Charlotte,PER,PER,74644,", avec la
peau mate et de gran"
"te et de grands yeux noirs...
",74691,Est,LOC,LOC,74694,"-ce que je serais amoureux, pa"
"phère, sur le sol nouveau des ",85015,Etats-Unis,LOC,LOC,85025,".

— Âh! ces Américains, dit:m"
"t
internationaux, les fonds d'",88414,Etat,LOC,LOC,88418," les imitant de leur
mieux, mo"
", il n’y a rien
de tel que le ",95397,Respect,LOC,LOC,95404,. J'en ai fait l'expérience. L
". Et je saurai, aussi,
que le ",96141,Respect,LOC,LOC,96148, est un chat malfaisant et san
"lorsqu'il est seul
en face de ",96580,Charlotte,PER,PER,96589,". | |

Ca, je men moque absolu"
coup les gens graves. Quant à ,97021,Edouard,PER,PER,97028,", c’est
un jeune homme sérieux"
"s-
crire sa conversation avec ",97115,Charlotte,PER,PER,97124," ne me serait pas
difficile. |"
"i,
Mademoiselle !

— Oh! oui, ",97228,Monsieur,PER,PER,97236,".

 

most

A TE
ris""

\

LE "
" en plein mois d'août.
— Oui, ",97330,Monsieur,PER,PER,97338,". oo |
— Vous ne craignez pas "
"eurs, Ma-
demoiselle ?
— Non, ",97414,Monsieur,PER,PER,97422,". | |
— Beaucoup de gens s’en "
"n trouvent incommodés.
— Oui, ",97480,Monsieur,PER,PER,97488,". |
Mon oncle parle de l'inten"
"il a de faire re-
monter pour ",97556,Charlotte,PER,PER,97565, plusieurs des bijoux que lui 
tions pour moi; le mariage de ,98057,Charlotte,PER,PER,98066,", me dit-il,
n'est plus qu’une"
"ent. Pourquoi en dire
du mal? ",98625,Mme Montareuil,PER,PER,98639," referme l’écrin avec la joie
"
"s-Lafitte, j'espère, monsieur ",98846,Georges,PER,PER,98853," ?
_ — Non, Madame; je le regr"
"de votre oncle. Nous laissons
",99514,Marguerite,PER,PER,99524," pour garder la maison, et nou"
"re du berger
dans les yeux de ",100206,Margot,PER,PER,100212,".

— Alors, Monsieur ne va pas"
"les yeux de Margot.

— Alors, ",100224,Monsieur,PER,PER,100232, ne va pas à Maisons-Lafitte d
"x portes, petitesoubrette?

— ",100357,Commeauthéâtre,PER,PER,100371,",répond-elleen baissant les ye"
" dire.
J'essaye de convaincre ",100731,Margot,PER,PER,100737," de cette grande vérité.
Elle "
"ENCE

Quand je suis revenu de ",101156,Belgique,LOC,LOC,101164,", où je n’a-
vais guère passé "
"rope, un des fondateurs de
la ",103424,Digestion,MISC,MISC,103433,. Economique ; M° Montareuil a
u’une union entre son fils et ,104055,Charlotte,PER,PER,104064," était
désormais impossible ; "
"peu
vite en besogne. D'abord, ",104295,Charlotte,PER,PER,104304," avait, je crois,
beaucoup d’a"
"is,
beaucoup d’affection pour ",104348,Edouard,PER,PER,104355,".

— Elle! Charlotte ! Elle n'"
"
 

LE VOLEUR _ 49

laffaire, ",107804,Edouard,PER,PER,107811," ne la quitte pas, mais elle l"
"Me
prends-tu pour un enfant ? ",108471,Est,LOC,LOC,108474,"-ce que j'ai l'habitude
d'inve"
"res opèrent
eux-mêmes... |

— ",110463,Est,LOC,LOC,110466,"-ce que M""° Montareuil est au "
"scandale. Affaire classée.

— ",111073,Edouard,PER,PER,111080," ne saura rien?

— Rien. Il n'"
"e regarde avec étonnement.

— ",111435,Est,LOC,LOC,111438,-ce que je_ sais ? Elle n’a ri
" demander. |

Fout de suite.

",111894,Charlotte,PER,PER,111903, ne m'a pas dit ce qu'elle pen
"ngtemps déjà, sans doute,
que ",114225,Charlotte,PER,PER,114234, a pu satisfaire sa curiosité 
