Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"ltica
levoleur. roMan(Ccorges
",36,Darien,,PER,42,"
101
A8IS
083
a11
180
Vrau
Dar"
"eur. roMan(Ccorges
Darien
101
",47,A8IS,,MISC,51,"
083
a11
180
Vrau
Darien, Geor"
"n(Ccorges
Darien
101
A8IS
083
",56,a11,,LOC,59,"
180
Vrau
Darien, Georges (186"
"A8IS
083
a11
180
Vrau
Darien, ",77,Georges,,MISC,84, (18621922). Auteur dutente. l
s (18621922). Auteur dutente. ,113,le voleur,,MISC,122,". roman
ICeorges Darien. 1898."
"eur dutente. le voleur. roman
",130,ICeorges Darien,,MISC,145,". 1898.
I les contenus accessi"
" roman
ICeorges Darien. 1898.
",153,I,,LOC,154, les contenus accessibles sur 
tenus accessibles sur le site ,192,Callica,,MISC,199," sont pour la plupatt
des repr"
ovenant des collections de la ,325,Bnt,,LOC,328,". Leur
reutilisation s'inscrit"
" ou scientifique est libre et
",537,Gratuite,,MISC,545, dans le respect de la legisla
"telle que
precisée ciapres : ",684,u Source gallicd,,LOC,700,. bnt fr ( Bibliotheque nation
 : u Source gallicd. bnt fr ( ,711,"Bibliotheque nationdle
de France",,LOC,743, . ola Source Gallicd.bnf.fr (
"otheque nationdle
de France . ",746,ola Source Gallicd.bnf.fr,,LOC,771," (Bnt n.
areutilisation comner"
 . ola Source Gallicd.bnf.fr (,773,"Bnt n.
areutilisation",,PER,794, comnerciale de ces contenus e
une licence. Est entendue par ,883,reutilisation commnerciale,,PER,909," ld
revente de contenus sous f"
"re routilisation des contenus
",1035,Générant,,PER,1045, directement des revenus : pub
"lle, un service ou un produit
",1222,Dayant,,MISC,1228,", un Support d vocation promot"
"vice ou un produit
Dayant, un ",1233,Support,,MISC,1240, d vocation promotionnelle etc
"le etc.
QAUERIGPOURACCEDERAIA ",1294,TARIFSEALAAICENCE,,MISC,1311,"
Ll les contenus de Callica so"
"RACCEDERAIA TARIFSEALAAICENCE
",1312,Ll,,MISC,1314, les contenus de Callica sont 
"ALAAICENCE
Ll les contenus de ",1331,Callica,,MISC,1338, sont la propriété de la Bnt
ica sont la propriété de la ,1365,Bnt,,LOC,1368," ausens de
l'article 122221 du"
"́té des personnes
publiques.
",1457,I Quclques,,PER,1467, contenus sont soumis d un reg
ents protéges par un droit d',1595,auteu,,LOC,1600,"
appattenant d un tiers. Ces d"
res institutions pattendires. ,1863,Courci,,MISC,1869," sont
signales par la mention "
" sont
signales par la mention ",1899,Source gallicd,,MISC,1913,". Bnt. Fr ( Bibliotheque
munic"
ar la mention Source gallicd. ,1915,Bnt,,LOC,1918,". Fr ( Bibliotheque
municipale"
 mention Source gallicd. Bnt. ,1920,Fr,,LOC,1922," ( Bibliotheque
municipale de."
ion Source gallicd. Bnt. Fr ( ,1925,Bibliotheque,,LOC,1937,"
municipale de... (ou dutre pa"
"iotheque
municipale de... (ou ",1959,dutre partendire,,PER,1975,"). lutilisateur est invite d̀
"
" conditions de
rautilisation.
",2081,Al Callicd,,PER,2091, constitue une base de donnée
"une base de données, dont la ",2132,Bnt,,LOC,2135," est le
producteur, protegée "
rotegée du sens des articles ,2186,1397I,,ORG,2191," et suivants du
code de la pro"
"la propriéte intellectuelle.
",2245,Sl,,PER,2247, les presentes conditions d'ut
r la loi frangaise. En cas de ,2355,reutilisation prevrie,,PER,2376," dans
un dutre pays, il appatt"
"iet avec le droit de ce pays.
",2499,Ol,,LOC,2501, l'utilisateur sengage a respe
 de propriete intellectuelle. ,2663,En Cas,,MISC,2669," de nonrespect de ces
disposit"
"dt
la loi du 27 juiilet 1978.
",2786,I,,LOC,2787, Pour obtenir un document de C
"Callicd en haute détinition,
",2846,Contacter,,LOC,2855,"
utilisation Commnercialelabnt"
"nition,
Contacter
utilisation ",2868,Commnercialelabnt,,MISC,2885,". tt.

      de d
D.
D
A
M4

N"
"ercialelabnt. tt.

      de d
",2903,"D.
D
A
",,PER,2910,"M4

N

D
N

A
M
M
N

AS
M
D 

"
