Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
(b) ,4,Caltica,PER,PER,11,"
levoleur. roMan(Ccorges
Darie"
"ltica
levoleur. roMan(Ccorges
",36,Darien,PER,PER,42,"
101
A8IS
083
a11
180
Vrau
Dar"
"s
Darien
101
A8IS
083
a11
180
",64,"Vrau
Darien",PER,PER,75,", Georges (18621922). Auteur d"
"́té des personnes
publiques.
",1457,I Quclques,PER,PER,1467, contenus sont soumis d un reg
"de reutilisation
particulier. ",1531,Msagit,PER,PER,1537,".
es reproductions de docurnen"
" conditions de
rautilisation.
",2081,Al Callicd,PER,PER,2091, constitue une base de donnée
d'utilisation des contenus de ,2303,Callicd,PER,PER,2310,"
sont regies par la loi franga"
I Pour obtenir un document de ,2816,Callicd,PER,PER,2823," en haute détinition,
Contact"
"les Caeurs, 1970.1871. roudn, ",3897,I Yolume,PER,PER,3905,".
Birihi, armée d'Afrique, ro"
"passer.
ainsi la frontière ? ",5539,Mon Dieu !,MISC,MISC,5549," r'avais voulu voir le
roi Lé"
"est le Républicain qui ne me
",5676,Ccomprendra,PER,PER,5687," pas ?
 'étais entre, en arri"
"nt jamais sorti de mon
1702.
 ",6106,Monsieur,PER,PER,6114, est sans doute un ami de M. K
ieur est sans doute un ami de ,6140,M. Kandal,PER,PER,6149,",
me dit l'hotetiere comme je "
ccomme vous savez - Cieoroes. ,6646,Randal,PER,PER,6652,". - Fh! bien,
huisque vous le "
" voire malle de la oare. Vous
",7459,Louvez,PER,PER,7465," etre tranquille, savez-vous, "
"e coin, la
C'est la valise de ",8282,M. Randal,PER,PER,8291," : il n'a pas voulu l'empor
 t"
"oins du monde.
 J'espère que ",8544,Monsieur,PER,PER,8552," sera satisfait, dit l'hôtes5"
s messieurs ont du le dire à ,8672,Monsieur,PER,PER,8680,".
lesquisse un Sourire.
.
I
 l"
"e que contenait la valise de.
",8986,M. Randal,PER,PER,8995,". Curiosité malsdine,. je l'a"
"audrait répondre avant de me
",9255,Jugor,PER,PER,9260," trop séverement.
aret, jouvr"
"a bouclaient. Je n'Aurai pa5,
",9392,Dieu,MISC,MISC,9396," merci, une effraction Sur la "
her mes bagages et réoler ma ,10748,Note,MISC,MISC,10752,", et je me suis
installe aille"
"́ la
lecture des mémoires de ",10861,M. Randal,PER,PER,10870," . L'appellerai-je
Monsieurd  "
"e M. Randal . L'appellerai-je
",10889,Monsieurd,PER,PER,10898,  maintenant que j'ai en ma po
" je faire, de ce manitserit?
 ",11042,Lerestituer,PER,PER,11053, !. me crie une voix intérieu
"x, à tous les points
de vue. ",11581,Matheureusement,PER,PER,11596,", c'est impraticable. Je 5uis
"
"it écrit,
d'avance, le sieur ",12387,Randal,PER,PER,12393,". - Lant bis pour lui: tant
pi"
"pect de la pro.
priété, que ",12604,Messieurs,PER,PER,12613, les voleurs commencent - pour
" la tailler, de la rooner, de ",12942,da touetter,PER,PER,12953," de
commentaires implacables -"
"ul a n'en aroir pas le droit.
",14758,Dentetre,PER,PER,14766,".
Londres, 1806.
 d  ded d 
GT"
" voyages forment la jeunesse.
",15444,Chevcus,PER,PER,15451,", barbes ct postiches.
lidée "
"tait grand temps, et md tante ",16671,Augustine,PER,PER,16680,", en
 termes voilés, d mis in"
"e vous diricr, d présent, si ",17948,Jappd-,PER,PER,17954,"
raissdis d vous en costume de"
"eres ont la larmre a l'acil.
 ",18876,Cher,LOC,LOC,18880, petit! Comme il a dit travail
". on m'habillera cn
lérard a ",19983,Cornes,PER,PER,19989," quand je serdi academicien ?
"
"e.
Candeur !... Mon enlanre ? ",20267,Jene,PER,PER,20271," me rappelle déja
i plus. Mes"
ches et que j'arracherais des ,21249,Reurs,MISC,MISC,21254,", oil lec rosiers
ont des éti"
"cn colare. Comment! je ne re.
",23217,Conndis p2s,PER,PER,23228, Cammbetta ! Il est asscr faci
"t enfisant son droit,
on peut ",26042,Aujourdhui,PER,PER,26052, arriver d tout. I dépend de 
"que j'aurais peur, en ballon. ",26155,Dureste,PER,PER,26162,", bien
que je ne l'avouequ'a m"
"men d radicalement
COwrige.
. ",29350,Mne,PER,PER,29353," faut pas mangertes ongles, ma"
"re voisin, lété, sa femmine ",33445,Cst,PER,PER,33448," une
Grande amie de ma mère e"
" chance,
ditil a ma. mère, d ",34045,Acjeuner,PER,PER,34053," ; il ne serd pas pour
fuivi, "
"rendsd
Je n'ai pas rencontré ",35306,Albert,PER,PER,35312,". Mtais le surlendemain
matin,"
e n'ai pas rencontré Albert. ,35314,Mtais,PER,PER,35319," le surlendemain
matin, Comime"
"ndemain
matin, Comime je suis ",35358,Assis,PER,PER,35363,", au fond du jardin, a cote
de"
"us importuner plus longtemps, ",36941,M. Randal,PER,PER,36950,": je vais
Yous quittet... Au r"
"ts dans
Cette main ld.
Adicu, ",37115,Monsieur,PER,PER,37123,".
alors, M. Dubourg est parti."
