Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
r passer ainsi la frontière ? ,903,Mon,MISC,,906, Dieu ! j'avais voulu voir le 
sser ainsi la frontière ? Mon ,907,Dieu,MISC,,911, ! j'avais voulu voir le roi L
"– Pas le moins du monde. 
– J'",3826,espère,PER,,3832," que Monsieur sera satisfait, "
e. À quoi ça peut-il servir ? ,4884,Mystère,PER,,4891,. Une petite bouteille étiquet
 M. Randal -- l'appellerai-je ,6115,Monsieur,PER,,6123, ? -- maintenant que j'ai en m
rassante. Comment en sortir ? ,7309,Eh,PER,MISC,7311," ! bien, le manuscrit lui-même"
"ait écrit, d'avance, le sieur ",7599,Randal,MISC,PER,7605,. -- Tant pis pour lui ; tant 
" ai pas le droit. Peut-être. 
",9896,Georges,PER,,9903," Darien. 
Londres, 1896. 
I --"
ance était ouverte quand nous ,16330,sommes,MISC,,16336," entrés. Un monsieur chauve, f"
" moi. 
– Le voilà, Gambetta ! ",18094,Tiens,MISC,,18099,", là, là ! 
Oui, c'est lui, c'"
ain comment il a le nez fait. ,19821,Est,LOC,,19824,-ce que je ne suis pas physion
'est trop difficile d'être un ,32371,cancre,PER,,32377,. Je suis un élève médiocre. J
ion pèse sur moi. Je suis volé,34988,",",PER,,34989, et je ne puis pas me défendre
Morgues -- cette Histoire des ,43132,Morts,PER,,43137, qu'on nous enseigne en dédain
t je fais cascader le dactyle ,44680,dansant,PER,,44687,. Je m'imprègne des grandes le
tre juste : les invasions des ,45346,Barbares,PER,MISC,45354, ont eu du bon ; pourquoi pas 
 des Barbares ont eu du bon ; ,45371,pourquoi,MISC,,45379," pas ? Quant aux Anglais, je s"
"ignore ; Michel-Ange, pour le ",46094,Jugement,PER,,46102," Dernier, que je n'ai jamais v"
tée au fond de la boîte. Je n',46968,espère,PER,,46974," pas. Je veux. 
« Qu'un homme "
"t ouverte aux talents... 
Mon ",49054,oncle,PER,MISC,49059," s'amuse un peu, en me disant "
et j'ai visité les prétoires. ,58494,Monsieur,PER,,58502,", c'est absolument piteux. Mai"
"pas ton corps », a dit Isaïe. ",59400,Monsieur,PER,,59408,", je ne connais point de parol"
moment qu'il est obligatoire. ,60726,Obligatoire,PER,,60737, ! tout l'est à présent : inst
"ils ne purent être empereurs, ",74461,Charles,PER,,74468,-Quints avortés en Gilles de R
e faut pas plaisanter avec M. ,76330,Urbain,PER,,76336," Randal. 
Mais ça, c'est une r"
pas plaisanter avec M. Urbain ,76337,Randal,MISC,,76343,". 
Mais ça, c'est une règle qu"
" net, huit cent mille francs. ",77928,Maintenant,LOC,,77938,", passons à ma gestion. 
Elle "
e à la gorge et lui crier : « ,80112,Menteur,PER,MISC,80119, ! Voleur ! » C'est aujourd'hu
"t possible, répond mon oncle. ",82544,Lis,PER,,82547," un journal. Ou plutôt, adress"
", il n'y a rien de tel que le ",84737,Respect,PER,LOC,84744,. J'en ai fait l'expérience. L
"z aussi à Maisons-Laffitte, j'",88081,espère,PER,,88087,", monsieur Georges ? 
– Non, M"
tre d'Issacar qui m'appelle à ,88340,Bruxelles,PER,LOC,88349,". Mais, surtout je ne tiens pa"
rsuader ; Je ne partirai pour ,90062,Bruxelles,PER,LOC,90071," qu'après-demain matin, et la "
"ain sur les coupables... 
Mon ",93686,oncle,PER,,93691," ricane. 
– Les coupables ! di"
d avoir vus... Fausse piste ; ,94659,renseignement,MISC,,94672, mauvais dont la police n'est 
e. Un de ces faux artistes de ,95772,Montmartre,PER,LOC,95782, dont le ciseau de sculpteur s
"aires opèrent eux-mêmes... 
– ",99240,Est,LOC,,99243,-ce que Mme Montareuil est au 
"e regarde avec étonnement. 
– ",100204,Est,LOC,,100207,-ce que je sais ? Elle n'a rie
" le jugement qu'elle a porté, ",103100,nerveux,PER,,103107," et partial, a été la négation"
"ur d'orage, dans le jardin de ",106734,Maisons,PER,,106741,"-Laffitte, où sa robe blanche "
"'elle-même, en tous cas... -- ",113574,Illégalement,PER,MISC,113586,. -- Soit. C'est ce qu'a fait 
", sale voleur que vous êtes ! ",115144,Entendez,PER,,115152,"-vous, que j'en ai envie ? Hei"
"age ma main et je me lève. 
– ",118685,Est,LOC,,118688,-ce que je sais ce que tu pens
eu ne m'en empêcherait pas. J',121901,espère,PER,,121907, que tu ne me quitteras pas ; 
je vais prendre le train pour ,127324,Bruxelles,PER,LOC,127333,", quelqu'un me frappe sur l'ép"
 sont insondables. M. Édouard ,128096,Montareuil,PER,,128106," est bien affecté. 
– J'espère"
"areuil est bien affecté. 
– J'",128130,espère,PER,,128136," qu'il se consolera, avec le t"
"olera, avec le temps. 
– Je l'",128180,espère,PER,,128186, aussi. Le temps... les distra
"ur. Nous nous retrouverons, j'",128857,espère,PER,,128863, ; je fais même mieux que de l
itions ! Ça ne sert à rien -- ,129263,surtout,PER,,129270, quand les prêtres sont dans l
elques malheureux millions en ,129965,Europe,PER,LOC,129971, ; on est bien forcé d'admettr
 base la liberté absolue de l',137254,Individu,PER,MISC,137262, ; de la bloquer dans sa Cité 
t cinquante mille suicides en ,140364,Europe,PER,LOC,140370," ; et, en France seulement, qu"
"de pain. 
– Que voulez-vous ? ",142669,ricane,PER,,142675, Issacar. Ils ont contre eux l
"u'avait déjà tenue Jérémie, l'",146378,Individu,PER,,146386," la porte sur la poitrine, auj"
ers ? Votre brusque arrivée à ,150317,Bruxelles,PER,LOC,150326,", quand j'y réfléchis, me lais"
"isse, pour créer un port à La-",152257,Chaux,PER,,152262,"-de-Fonds ; seulement, il faut"
notre honorable ami M. Issacar,155493,",",LOC,,155494, et je suis heureux qu'il ait 
le moins possible. Mon Dieu ! ,155882,Mon,MISC,,155885, Dieu ! pourvu que ça ne dure 
it autrement. La science nous ,158983,l',PER,,158985,"apprend. La science, Monsieur "
 dont l'idée seule effraye M. ,160877,Randal,MISC,PER,160883,". 
– Oui, dis-je, obéissant à "
ne pas confier son argent aux ,162501,Banques,PER,LOC,162508, et de le garder chez soi. C'e
"te tout court, comme on dit : ",167423,Monsieur,PER,,167431," Thiers. 
– Nous voici arrivés"
s. J'ai décroché une toile de ,176927,Lorenzo,PER,,176934," di Credi, une Vierge qui me p"
qu'on avait remis mon père en ,180509,liberté,PER,,180516, ; on n'avait pu trouver aucun
"ou, depuis que mon père a été ",181906,arrêté,PER,,181912,. Elle parle de se faire relig
scendre ! dit Roger-la-Honte. ,183980,Est,LOC,,183983,-ce que tu rêves ? Nous ne des
" n'est pas la mer à boire. 
– ",185549,Est,LOC,,185552,-ce qu'on a le temps ? Toujour
"toi, tous ces astres ? Moi, j'",186704,espère,PER,,186710, que non. Quand on pense que d
u te fais une connaissance... ,195242,Maintenant,LOC,,195252,", allons-nous-en ; donne-moi l"
"stende, car nous avons quitté ",196010,Bruxelles,PER,LOC,196019, par le premier train du matin
