Gauche,Début,Texte,Label_modele,Label_spacy,Fin,Droit
"ître, s'il le faut, devant le ",674,Procureur,LOC,,683, du Roi. (Ça se passe en Belgi
" faut, devant le Procureur du ",687,Roi,PER,,690,". (Ça se passe en Belgique.) 
"
r passer ainsi la frontière ? ,903,Mon,MISC,,906, Dieu ! j'avais voulu voir le 
sser ainsi la frontière ? Mon ,907,Dieu,MISC,,911, ! j'avais voulu voir le roi L
jamais vu de roi. Quel est le ,1016,Républicain,PER,ORG,1027," qui ne me comprendra pas ? 
J"
ieur est sans doute un ami de ,1474,M.,PER,,1476," Randal, me dit l'hôtelière co"
s comme vous savez -- Georges ,1973,Randal,LOC,,1979," -- Eh bien, puisque vous le c"
us savez -- Georges Randal -- ,1983,Eh,MISC,,1985," bien, puisque vous le connais"
savez -- Georges Randal -- Eh ,1986,bien,MISC,,1990,", puisque vous le connaissez, "
". Ces messieurs sont à Spa, à ",2404,Dinan,PER,LOC,2409,", à Ostende, ou bien dans les "
"sieurs sont à Spa, à Dinan, à ",2413,Ostende,PER,LOC,2420,", ou bien dans les villes d'ea"
" coin, là, c'est la valise de ",3579,M.,PER,,3581, Randal ; il n'a pas voulu l'e
ce que contenait la valise de ,4263,M.,PER,,4265," Randal. Curiosité malsaine, j"
"de me juger trop sévèrement. 
",4543,Bref,LOC,,4547,", j'ouvris la valise ; elle n'"
e. À quoi ça peut-il servir ? ,4884,Mystère,PER,,4891,. Une petite bouteille étiquet
né la lecture des mémoires de ,6086,M.,PER,,6088, Randal -- l'appellerai-je Mon
 M. Randal -- l'appellerai-je ,6115,Monsieur,PER,,6123, ? -- maintenant que j'ai en m
"ais jamais dû lire, jamais dû ",6221,toucher,PER,,6228,", qu'en dois-je faire, de ce m"
"e faire, de ce manuscrit ? 
– ",6272,Le,MISC,,6274, restituer ! me crie une voix 
"intérieure, mais impérieuse. 
",6334,Naturellement,PER,,6347,. Mais comment faire ? Le renv
 ? Le renvoyer par la poste ? ,6397,Impossible,PER,MISC,6407,", mon départ précipité a dû dé"
"e l'avait écrit, d'avance, le ",7593,sieur,PER,,7598, Randal. -- Tant pis pour lui 
"is point comment il écrit, ce ",8731,Voleur,PER,MISC,8737,-là ; mes phrases n'entrent pa
"sonnage, un ancien élève de l'",9106,École,MISC,,9111," Polytechnique, par exemple, q"
"olume, aurait dit son fait au ",9192,Voleur,PER,MISC,9198,. Il aurait suffi de le faire 
"nscience. 
Moi qui ai volé le ",9677,Voleur,PER,,9683,", je ne puis guère le flétrir."
" ai pas le droit. Peut-être. 
",9896,Georges,PER,,9903," Darien. 
Londres, 1896. 
I --"
"le droit. Peut-être. 
Georges ",9904,Darien,PER,,9910,". 
Londres, 1896. 
I -- AURORE"
s y pousse de tous les côtés. ,10050,Mme,PER,,10053, Dubourg a laissé entendre à m
 un enfant -- au moins un. -- ,10634,Réfléchissez,PER,,10646,"-y. 
Le médecin s'en mêle : 
–"
"rudent d'attendre davantage. 
",10783,Le,PER,,10785," curé aussi : 
– Un des premie"
"ent d'attendre davantage. 
Le ",10786,curé,PER,,10790," aussi : 
– Un des premiers pr"
"ères ont la larme à l'œil. 
– ",12315,Cher,PER,LOC,12319, petit ! Comme il a dû travail
"anche, à faire hurler un Peau-",12925,Rouge,PER,,12930, et à me donner des excitation
" ans. 
– Un bel âge ! dit mon ",13570,oncle,PER,,13575,. On est déjà presque un jeune
"ute la candeur de l'enfance. 
",13661,Candeur,PER,MISC,13668, !... Mon enfance ? Je ne me r
urniquets chargés de pavés de ,15150,Reims,PER,LOC,15155,", de porcelaines utiles et de "
" Tu vas voir, a-t-il dit, que ",15263,Phanor,PER,LOC,15269," est plus adroit que toi. 
Il "
 quand nous sommes entrés. Un ,16348,monsieur,PER,,16356," chauve, fortifié d'un gilet b"
'Histoire et il reconnaîtrait ,18010,M.,PER,,18012," Thiers à une demi-lieue... 
P"
"is, il se tourne vers moi. 
– ",18073,Le,MISC,,18075," voilà, Gambetta ! Tiens, là, "
" moi. 
– Le voilà, Gambetta ! ",18094,Tiens,MISC,,18099,", là, là ! 
Oui, c'est lui, c'"
ain comment il a le nez fait. ,19821,Est,LOC,,19824,-ce que je ne suis pas physion
; au moins quelquefois. Et le ,19934,monsieur,PER,,19942," chauve, en gilet blanc, qui p"
"e n'est pas Gambetta, ni même ",20404,M.,PER,,20406," Thiers, qui symbolisent pour "
" libre, mais policé. C'est ce ",20508,monsieur,PER,,20516,", dont j'ignore le nom, dont l"
té la France dans le fiacre à ,20599,Louis-Philippe,MISC,PER,20613,", dont la blanchisseuse avait "
"ds à m'enorgueillir. Non, Ali-",24320,Baba,MISC,,24324," n'a point éprouvé, en pénétra"
"le fruit défendu, au jardin d'",24535,Eden,LOC,,24539,", avec une émotion plus grande"
" lis le Contrat de louage, le ",24824,Régime,PER,,24830," dotal, beaucoup d'autres chos"
est tout ce qui restera de la ,26300,Société,PER,ORG,26307,". 
Bon, bon. Nous verrons ça. "
es domestiques. Il parait que ,27051,M.,PER,,27053, Dubourg s'est mal conduit... 
"te, échapper au châtiment. 
– ",27583,Jamais,PER,,27589,", dit ma mère. Mais on aura eu"
"n aura eu égard à son âge. 
– ",27640,Belle,PER,,27645, excuse ! Raison de plus pour 
-tu rien de plus immoral ? Et ,27840,monsieur,PER,,27848, fouille à pleines mains dans 
tretenir ça !... Comme sous l',27937,Empire,PER,,27943, ! Comme sous Louis XV !... Et
" son journal, je vois arriver ",28746,M.,PER,,28748," Dubourg. La domestique, par b"
" huit jours avant midi. 
Mais ",28901,M.,PER,,28903, Dubourg est à dix pas. Je sen
"re me retient par le bras. 
– ",29103,Reste,PER,MISC,29108," là ! 
M. Dubourg parle depuis"
"ond rien. Rien ; pas un mot. 
",29340,M.,PER,,29342, Dubourg continue. Il dit que 
"us importuner plus longtemps, ",30260,M.,PER,,30262, Randal ; je vais vous quitter
". 
– Adieu, Monsieur. 
Alors, ",30455,M.,PER,,30457, Dubourg est parti. Il s'en es
"t. Je pense qu'ils ont, père, ",31384,mère,PER,,31388," et grand-père, exactement les"
onie un peu nerveuse. Je suis ,31562,porté,PER,,31567, à croire que ce qu'ils préfèr
CŒUR D'UN HOMME VIERGE EST UN ,32170,VASE,PER,MISC,32174," PROFOND 
C'est entendu. Je ne"
"it gloria mundi , soupire mon ",32535,oncle,PER,,32540,", qui ne sait pas le latin, ma"
"sque aux passants. 
C'est mon ",32690,oncle,PER,,32695,", à présent, qui veille sur me"
"it s'en apercevra plus tard. 
",32935,Depuis,PER,,32941,", j'ai appris bien d'autres ch"
"dée me supplicie, je hais mon ",35083,oncle,PER,,35088, ; je le hais d'une haine terr
"... Les robes de sa fille, ma ",35446,cousine,PER,,35453," Charlotte, qui commence à por"
"ère, et cette hache, c'est la ",40570,Nécessité,PER,,40579, qui la tient. C'est elle qui 
" chose qu'il faille savoir, « ",41310,Nul,PER,,41313, n'est censé ignorer la loi. »
"unts qui m'engagent à vivre. 
",41633,Integer,PER,,41640," vitae, scelerisque purus . 
J"
ui s'acharnera contre moi. Je ,42438,tiens,MISC,,42443, à n'avoir point de haine pour
rends donc cette Histoire des ,43046,Morts,PER,,43051," -- tout ça, c'est les procès "
s procès verbaux des vieilles ,43102,Morgues,PER,LOC,43109, -- cette Histoire des Morts q
Morgues -- cette Histoire des ,43132,Morts,PER,,43137, qu'on nous enseigne en dédain
eigne en dédain des Actes des ,43182,Vivants,PER,,43189, -- comme on nous condamne à l
